VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BAMTI BHANDAR,593,129,9,0,0,8
BETALI,925,13,2,1,2,9
BETHAN,1007,60,0,20,0,3
GAGAL BHADAURE,16,218,0,278,0,62
BHATAULI,373,244,1,181,3,18
BHIRPANI,1,249,1,460,49,4
BHUJEE,208,99,3,165,62,1
BIJULIKOT,3,647,6,406,11,14
CHANAKHU,273,133,0,67,0,3
CHISAPANI,613,57,0,5,1,10
CHUCHURE,520,59,1,0,0,5
DADHUWA,6,463,0,514,15,18
DEURALI,246,291,4,155,3,3
DIMIPOKHARI,374,164,1,181,0,6
DORAMBA,109,260,2,405,3,15
DURAGAUN,62,252,2,314,3,19
FARPU,140,293,0,11,4,2
GELU,425,713,2,103,7,17
GOSWARA,430,262,2,34,40,2
GOTHGAUN,102,364,7,92,0,1
GUMDEL,344,135,1,16,0,1
GUNSI BHADAURE,626,296,1,75,45,13
GUPTESHWOR,242,88,0,29,2,0
HILEDEVI,9,262,2,420,12,2
HIMGANGA,1,238,1,465,141,3
KATHJOR,50,561,4,302,0,17
KHANDADEVI,36,300,1,401,93,7
KHANIYAPANI,4,251,1,533,0,5
KHIMTI,261,601,3,65,30,8
KUBUKASTHALI,476,99,1,21,0,9
LAKHANPUR,1145,123,6,41,1,7
MAJUWA,1,188,3,245,2,14
MAKADUM,2,143,0,272,5,0
BHALUWAJOR,467,154,0,37,49,8
MANTHALI,1935,49,12,6,2,14
NAGDAHA,1,389,0,381,0,6
NAMADI,256,562,0,2,0,7
OKHRENI,631,71,3,33,0,4
PAKARBAS,1020,84,0,41,22,10
PHULASI,112,987,2,177,0,6
PINKHURI,1,187,0,238,1,1
PRITEE,476,257,5,382,2,6
PURANAGAUN,246,138,3,216,29,3
RAKATHUM,2,217,0,457,31,9
RAMECHHAP,939,192,7,10,2,3
RAMPUR,79,401,0,359,19,0
RASANALU,983,18,5,4,1,15
SAIPU,165,203,1,226,21,0
SALU,513,215,3,30,0,3
SANGHUTAR,461,31,0,2,2,4
SUKAJOR,556,77,0,41,78,4
SUNARPANI,410,81,0,7,1,1
THOSE,562,40,1,2,1,0
TILPUNG,271,251,3,297,0,6
TOKARPUR,261,330,2,161,1,12
TOTAL,19970,13189,114,9386,796,428
