VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
BHORLE,985,0,1,1,177,8,4,8
BRIDHIM,125,0,0,2,31,3,0,0
CHILIME,209,0,0,0,123,8,0,0
DANDAGOUN,407,0,0,12,55,3,1,1
DHUNCHE,704,0,1,1,1,1,0,6
GATLANG,377,0,0,9,7,5,0,2
GOLJUNG,109,0,0,9,149,2,0,0
HAKU,299,0,2,11,115,11,5,0
DHAIBUNG,1085,0,2,7,6,0,0,9
LAHAREPOUWA,995,0,0,2,38,13,0,5
LANGTANG,151,0,0,0,1,0,0,0
RAMCHE,439,0,3,10,2,32,0,3
SARAMTHALI,707,0,1,19,92,0,0,2
SYAFRU,618,0,0,2,0,1,0,0
THULOGOUN,291,0,0,0,2,8,16,0
THUMAN,130,0,0,1,106,0,2,0
TIMURE,125,0,0,0,0,5,0,0
YARSA,803,0,1,9,1,6,0,0
TOTAL,8559,0,11,95,906,106,28,36
