VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AJAGABI,108,148,12,276,2,0,2
AKOLAWA,139,126,74,550,4,1,35
AURAIYA,662,293,9,626,6,29,23
BADHARWA,13,100,1,670,0,1,17
BAGAHI,64,273,21,603,0,7,5
BALUWA MADANPUR,16,38,0,316,0,1,4
BAIRIYA,177,81,5,358,1,0,2
BANJARAHA,86,108,8,185,2,7,14
BARIYARPUR,80,186,43,845,7,0,29
BASANTAPATTI,152,197,48,687,0,0,12
BASATPUR,31,104,9,431,0,99,216
BASBITI JINGADIYA,46,180,30,574,14,29,5
BHALOHIYA(PIPRA),17,123,5,651,0,1,8
BHEDIYAHI,25,88,1,352,0,0,0
BIRTIPRASTOKA,2,61,2,572,0,0,8
BISHRAMPUR,17,199,42,1489,0,103,19
BISUNPURWA MANPUR,14,44,12,508,0,0,8
BRAHMAPURI,102,54,27,434,22,1,58
CHANDRANIGAHAPUR,372,1517,2025,1044,12,5,40
DEBAHI,58,138,13,742,10,8,29
DHARAMPUR,270,100,7,939,4,1,69
DHARHARI,40,109,4,271,5,2,9
DIPAHI,122,136,13,335,10,0,3
DUMARIYA(MATIAUNA),71,560,73,1954,3,42,56
DUMRIYA(PAROHA),240,112,48,232,2,3,21
FATUHA MAHESHPUR,236,53,2,448,1,2,4
FATUWA HARSAHA,1,73,3,621,1,1,8
GADHI BHANAWANPUR,5,6,0,35,1,95,3
GAMHARIYA BIRTA,147,150,12,677,1,56,16
GAMHARIYA PARSA,32,109,11,733,6,3,15
GANGAPIPARA,15,111,3,435,0,0,0
GARUDA BAIRIYA,20,451,11,233,2,0,24
GAUR MUNICIPALITY,785,2640,160,1901,17,20,112
GEDAHIGUTHI,47,121,4,481,2,50,4
HADIRYA PALTUWA,4,39,15,597,4,0,12
HAJMINIYA,77,192,2,484,0,0,1
HATHIYAHI,40,51,121,524,0,5,18
IHARBARI JYUTAHI,91,208,9,609,1,0,8
INARUWA,150,47,3,512,2,1,2
JATAHARA,556,121,6,383,7,50,49
JAYANAGAR,39,97,22,599,3,4,32
JETHRAHIYA,9,38,7,608,0,0,2
JHUNKHUNWA,107,160,2,772,3,51,11
JINGADAWA BELBICHWA,130,112,3,663,0,4,7
JOWAHA(JOKAHA),756,110,6,233,10,8,26
JUDIBELA,12,88,456,588,0,9,11
KAKANPUR,37,204,84,1159,2,42,91
KARKACH KARMAIYA,47,140,1,918,3,2,10
KARUNIYA,66,66,17,892,3,2,24
KATAHARIYA,16,339,44,1093,0,58,14
KHESARHIYA,12,62,1,456,0,2,1
LAXMINIYA DO.,33,194,30,1567,4,34,31
LAXMIPUR (DO.),62,70,0,841,4,2,7
LAXMIPUR BELBICHAWA,23,134,19,444,1,0,13
LOKAHA,153,88,6,365,0,1,17
MADHOPUR,95,254,5,756,3,0,22
MAHAMADPUR,51,373,4,816,1,0,32
MALAHI,1,45,4,348,0,8,2
MARYADPUR,12,92,0,626,0,0,82
MASEDAWA,14,64,10,904,0,3,26
MATHIYA,416,122,7,200,25,14,13
MATSARI,5,255,6,426,1,0,5
MITHUAWA,71,121,45,389,0,1,19
MUDWALAWA,10,396,12,583,0,0,8
NARKATIYA GUTHI,248,206,8,522,5,44,56
PACHARUKHI,83,191,42,565,1,52,9
PATAURA,97,208,12,800,0,0,56
PATHARA BUDHARAM,169,134,12,666,2,2,22
PAURAI,28,451,795,505,1,4,37
PIPARA POKHARIYA,74,80,18,747,2,14,22
PIPARIYA(DOSTIYA),13,146,7,560,1,0,4
PIPARIYA(PAROHA),265,207,13,665,4,2,21
PIPRA BHAGWANPUR,181,89,2,591,1,4,12
PIPRA RAJBARA,149,102,5,692,12,0,95
POTHIYAHI,156,237,197,384,1,0,14
PRATAPPUR PALTUWA,61,82,4,1147,10,2,44
PREMPUR GUNAHI,139,187,22,589,11,4,110
RAGHUNATHPUR,18,167,9,717,0,1,3
RAJDEVI,25,84,2,422,0,218,3
RAJPUR FARHADAWA,1026,201,38,999,209,86,30
RAJPUR TULSI,135,97,13,623,2,2,5
RAMOLI BAIRIYA,19,70,3,803,5,0,18
RAMPUR KHAP,296,53,6,365,3,10,43
RANGAPUR,79,118,211,1507,4,13,13
SAKHUAWA,145,134,3,469,1,1,6
SAKHUWA DHAMAURA,134,280,5,1365,4,13,56
SAMANPUR,6,253,4,1001,0,14,12
SANGRAMPUR,4,192,3,709,1,0,6
SANTAPUR(DOSTIYA),46,123,6,884,3,1,26
SANTPUR(MATIAUN),34,1022,167,1417,6,0,40
SARMUJAWA,347,329,14,730,1,1,17
SARUATHA,217,203,205,641,0,1,20
SAUNARANIYA,65,140,2,594,2,28,7
SHITALPUR BAIRGANIA,16,113,35,869,1,3,29
SIMARA BHAWANIPUR,12,136,13,1240,2,19,69
TEJAPAKAR,214,75,111,389,2,46,33
TENGRAHA,20,105,26,674,3,44,5
TOTAL,11828,19286,5698,65414,512,1497,2417
