VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ARESH,221,461,376,1,0,2,1,6,254,0,0,0,0,0,34
BHABANG,209,590,499,4,1,0,0,3,392,0,0,2,0,0,0
MIRUL,112,347,298,7,0,0,0,17,223,0,0,0,0,1,35
BUDAGAUN,206,1030,929,8,1,0,0,4,581,1,0,0,0,1,14
DHAWANG,144,742,707,5,0,0,0,6,247,0,0,1,0,0,8
DUBRING,140,751,716,105,0,1,0,1,415,0,1,0,0,0,40
DUBIDANDA,203,670,601,35,5,1,0,8,525,0,4,1,0,0,10
ERIWANG,277,693,518,124,14,8,0,11,442,0,2,0,0,1,33
FAGAAM,220,339,308,1,0,1,0,0,121,0,0,0,0,0,3
GAAM,318,464,451,1,0,1,0,2,72,0,0,0,0,0,5
GAIRIGAUN,151,755,706,31,1,1,0,5,407,0,4,1,1,2,32
GAJUL,282,760,617,138,52,6,1,13,534,2,2,4,0,2,2
GHARTI GAUN,142,768,730,40,1,5,2,13,357,0,6,1,0,0,11
GHODAGAUN,170,515,444,81,0,4,0,0,283,0,2,5,0,1,0
GUMCHAL,224,415,392,5,0,0,0,1,140,0,1,0,0,1,11
HARJANG,165,250,185,2,0,0,0,1,165,0,0,0,0,0,9
JAILWANG,63,435,424,10,0,0,0,5,178,0,0,0,0,0,12
JAIMAKASALA,228,334,304,4,1,0,0,1,121,0,0,1,0,0,18
JANGKOT,159,437,324,16,7,2,0,6,328,0,0,0,0,6,3
JAULIPOKHARI,90,840,817,8,0,1,0,7,319,0,0,2,0,0,3
JEDWANG,133,589,511,17,0,1,0,9,443,0,0,0,0,0,15
JHENAM,114,930,838,15,0,3,0,1,713,1,0,1,1,1,18
JINABANG,141,830,711,27,1,3,0,8,517,0,0,0,0,0,8
JUNGAR,220,795,692,10,3,4,1,13,456,1,7,1,1,0,4
KARETI,125,314,270,5,1,0,0,8,154,0,0,0,0,0,14
KHUMEL,175,461,311,96,15,2,4,11,375,1,4,0,0,1,12
KHUNGRI,158,746,532,170,108,16,2,14,609,0,2,11,0,0,6
KORCHABANG,134,604,546,31,1,0,0,12,447,0,5,5,1,0,9
KOTGAUN,204,685,493,20,1,3,1,9,546,0,1,1,0,0,6
KURELI,98,487,410,21,2,1,0,1,323,0,0,0,0,0,2
LIWANG,366,2224,1304,408,642,189,83,170,1997,6,67,7,5,64,17
MASINA,182,804,658,25,0,1,1,8,452,2,5,5,0,1,5
MIJHING,389,1163,677,416,215,44,23,66,909,8,46,7,11,52,9
NUWAGAUN,154,718,631,44,4,4,1,3,446,0,2,1,0,0,8
PACHHABANG,173,631,530,7,1,1,1,19,415,0,0,1,0,0,19
PAKHAPANI,294,707,620,33,0,1,1,1,423,0,0,1,1,0,11
PANG,307,517,453,19,0,0,0,9,184,0,0,1,1,0,43
RANGKOT,86,556,483,35,18,3,1,1,399,0,0,1,1,0,11
RANGSI,158,791,674,35,6,4,0,8,525,0,1,0,0,0,3
RANK,213,783,632,5,1,3,1,15,485,0,0,0,0,1,17
SAKHI,75,537,468,26,0,4,0,1,405,1,7,2,0,0,3
SERAM,121,253,231,1,0,1,0,3,130,0,0,0,0,0,0
SIRPA,605,781,553,170,16,6,0,10,511,0,2,1,1,1,7
SIURI,74,198,178,1,0,0,0,0,98,0,1,0,0,0,47
TALABANG,161,866,801,15,0,0,0,0,557,0,0,0,0,0,21
TEWANG,270,350,304,1,0,0,0,2,184,0,0,0,0,0,5
THABANG,226,682,544,57,21,9,2,4,520,0,0,2,0,1,29
UWA,110,613,601,17,1,0,0,6,247,0,0,0,0,1,18
BADACHAUR,367,698,537,110,9,3,2,9,407,0,1,2,3,4,3
HWAMA,218,564,478,22,0,1,0,0,317,0,0,1,0,0,2
WOT,126,696,654,2,10,0,0,0,267,0,0,1,0,0,10
