VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ARESH,535,3,3,163,0,0,12
BHABANG,787,0,4,0,0,0,8
MIRUL,491,0,0,1,0,0,2
BUDAGAUN,1216,24,3,1,0,0,6
DHAWANG,886,0,1,0,0,0,7
DUBRING,841,64,4,20,0,0,2
DUBIDANDA,846,24,6,2,0,2,3
ERIWANG,992,2,2,4,0,0,3
FAGAAM,547,1,3,6,0,0,5
GAAM,773,1,3,7,0,0,3
GAIRIGAUN,924,8,2,0,0,0,4
GAJUL,1027,1,2,10,0,0,4
GHARTI GAUN,904,3,0,12,0,0,2
GHODAGAUN,618,2,0,49,0,10,6
GUMCHAL,607,0,0,41,0,0,2
HARJANG,374,6,18,21,0,0,5
JAILWANG,502,3,0,0,0,0,5
JAIMAKASALA,556,2,14,6,0,0,2
JANGKOT,587,6,0,1,0,0,5
JAULIPOKHARI,921,3,1,1,0,0,7
JEDWANG,730,0,0,6,0,0,1
JHENAM,1056,1,2,0,0,0,3
JINABANG,966,7,4,0,0,0,2
JUNGAR,1000,9,3,3,0,0,4
KARETI,443,2,0,1,0,0,7
KHUMEL,623,7,1,14,0,0,3
KHUNGRI,860,9,0,35,0,3,3
KORCHABANG,741,1,0,0,0,0,5
KOTGAUN,888,5,1,1,0,0,0
KURELI,584,1,1,0,0,0,1
LIWANG,1942,576,23,9,0,2,55
MASINA,966,11,2,7,0,0,5
MIJHING,1202,317,31,4,0,0,7
NUWAGAUN,855,18,1,1,0,0,5
PACHHABANG,805,1,1,0,0,0,16
PAKHAPANI,1001,5,0,0,0,0,6
PANG,778,4,1,75,0,0,9
RANGKOT,650,0,3,0,0,0,0
RANGSI,946,2,1,0,1,0,2
RANK,1001,4,3,0,0,0,5
SAKHI,612,1,1,0,0,0,1
SERAM,347,0,7,18,0,0,2
SIRPA,1274,15,64,35,0,0,5
SIURI,301,0,5,10,0,0,3
TALABANG,1042,0,0,2,0,0,4
TEWANG,622,0,0,1,0,0,2
THABANG,927,8,0,0,0,0,2
UWA,729,2,1,0,0,0,9
BADACHAUR,998,5,17,44,0,0,4
HWAMA,774,0,2,0,0,0,8
WOT,826,1,5,0,0,0,0
TOTAL,41423,1165,246,611,1,17,272
