VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARESH,503,121,84,8
BHABANG,662,60,71,6
MIRUL,458,11,22,3
BUDAGAUN,1121,98,26,5
DHAWANG,758,44,87,5
DUBRING,816,75,38,2
DUBIDANDA,827,45,10,1
ERIWANG,723,127,151,2
FAGAAM,541,7,11,3
GAAM,743,13,31,0
GAIRIGAUN,745,173,18,2
GAJUL,827,188,29,0
GHARTI GAUN,736,131,52,2
GHODAGAUN,591,22,70,2
GUMCHAL,618,15,15,2
HARJANG,361,11,48,4
JAILWANG,275,132,101,2
JAIMAKASALA,412,119,47,2
JANGKOT,464,74,59,2
JAULIPOKHARI,858,20,53,2
JEDWANG,624,79,32,2
JHENAM,1009,28,22,3
JINABANG,629,342,6,2
JUNGAR,784,219,14,2
KARETI,443,3,2,5
KHUMEL,364,258,25,1
KHUNGRI,588,172,147,3
KORCHABANG,668,35,41,3
KOTGAUN,32,801,62,0
KURELI,460,109,18,0
LIWANG,942,1106,525,34
MASINA,939,27,20,5
MIJHING,981,450,125,5
NUWAGAUN,726,115,34,5
PACHHABANG,695,60,60,8
PAKHAPANI,893,26,90,3
PANG,696,66,101,4
RANGKOT,491,80,82,0
RANGSI,811,64,75,2
RANK,927,67,11,8
SAKHI,582,26,6,1
SERAM,358,10,5,1
SIRPA,1164,109,117,3
SIURI,237,27,52,3
TALABANG,916,80,46,6
TEWANG,603,3,16,3
THABANG,808,109,18,2
UWA,597,57,81,6
BADACHAUR,866,137,62,3
HWAMA,701,70,6,7
WOT,694,109,29,0
TOTAL,34267,6330,2953,185
