VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AATHBISDANDAGAUN,1417,4,0,10,6,0,0,3
AATHBISKOT,1681,0,0,3,5,0,0,10
ARMA,707,1,0,7,2,0,0,3
BANFIKOT,1063,0,1,0,0,2,1,8
BHALAKCHA,746,0,0,1,0,0,0,1
BIJAYASWORI,1857,2,37,10,7,0,1,8
CHHIWANG,1131,1,2,1,1,0,0,2
CHAUKHAWANG,631,1,0,1,0,0,0,0
CHUNWANG,606,0,0,1,0,1,0,1
DULI,842,0,0,1,2,0,1,5
GARAYALA,1094,3,1,8,8,1,0,1
GOTAMKOT,1345,0,0,3,1,0,2,10
GHETMA,856,0,0,0,0,0,1,5
HUKAM,462,2,0,8,0,0,0,3
JANG,571,1,2,2,0,0,0,2
JHULA,680,5,0,0,0,0,0,1
KANDA,538,0,0,1,1,0,0,3
KANKRI,996,3,0,4,0,0,0,5
KHARA,1105,0,0,7,1,0,0,0
KHOLAGAUN,1176,0,1,0,2,0,0,7
KOL,703,0,0,1,1,0,0,2
KOTJAHARI,1042,0,1,11,2,0,0,2
MAGMA,1085,0,0,6,0,0,0,3
MAHAT,932,1,0,1,0,0,1,2
MORAWANG,508,0,0,0,0,0,0,4
MURU,787,1,0,0,0,0,0,0
KHALANGA,2704,12,545,6,3,1,8,0
NUWAKOT,1050,0,0,4,0,0,0,5
PIPAL,844,0,0,0,1,0,0,1
POKHARA,912,0,0,3,0,0,0,1
PURTIMKANDA,926,0,0,3,0,0,0,3
PWANG,358,0,0,0,0,0,0,1
PEUGHA,814,1,0,3,0,0,0,1
RANGSI,425,0,0,0,0,0,0,0
RANMAMAIKOT,772,0,0,1,0,0,0,1
RUGHA,793,1,4,1,1,0,0,5
SANKHA,1089,0,0,1,0,0,0,2
SIMLI,1034,0,5,0,0,0,0,5
SISNE,371,0,0,1,0,0,0,0
RUKUMKOT,1336,0,3,0,2,0,0,1
SYALAKHADI,847,1,0,1,0,0,0,3
SYALAPAKHA,1154,3,0,1,1,0,0,1
TAKSERA,899,0,0,1,2,0,0,0
TOTAL,40889,43,602,113,49,5,15,121
