VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AATHBISDANDAGAUN,1390,11,27,7,3,0,2
AATHBISKOT,1666,4,6,7,0,3,13
ARMA,711,4,2,0,0,0,3
BANFIKOT,1045,16,1,0,0,0,13
BHALAKCHA,582,10,155,0,0,0,1
BIJAYASWORI,1707,184,9,8,0,0,14
CHHIWANG,1132,2,1,1,0,0,2
CHAUKHAWANG,629,1,1,0,0,0,2
CHUNWANG,607,0,1,0,0,0,1
DULI,832,0,9,1,0,3,6
GARAYALA,1100,7,7,2,0,0,0
GOTAMKOT,1344,6,0,0,0,0,11
GHETMA,856,0,1,0,0,0,5
HUKAM,473,0,0,0,0,0,2
JANG,572,3,1,0,0,0,2
JHULA,665,14,6,0,0,0,1
KANDA,533,1,3,0,0,0,6
KANKRI,994,1,3,0,0,0,10
KHARA,1104,1,6,0,0,0,2
KHOLAGAUN,1174,4,1,0,0,0,7
KOL,699,2,1,0,0,0,5
KOTJAHARI,994,40,20,0,0,0,4
MAGMA,1079,1,7,0,0,0,7
MAHAT,919,7,7,1,0,0,3
MORAWANG,507,0,1,0,0,0,4
MURU,767,4,12,2,0,0,3
KHALANGA,2318,905,39,3,0,8,6
NUWAKOT,1045,6,2,0,0,0,6
PIPAL,842,1,0,0,0,0,3
POKHARA,907,8,0,0,0,0,1
PURTIMKANDA,916,5,1,0,0,0,10
PWANG,353,1,0,0,0,0,5
PEUGHA,765,44,4,0,0,0,6
RANGSI,424,0,0,0,0,0,1
RANMAMAIKOT,764,0,1,0,0,1,8
RUGHA,788,9,1,0,0,0,7
SANKHA,1088,2,0,0,0,0,2
SIMLI,1028,8,3,0,0,0,5
SISNE,337,1,5,0,0,0,29
RUKUMKOT,1295,3,12,15,0,6,11
SYALAKHADI,840,0,6,0,0,0,6
SYALAPAKHA,1138,13,6,0,0,2,1
TAKSERA,894,3,2,1,0,0,2
TOTAL,39823,1332,370,48,3,23,238
