VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AAMA,90,22,28,1456,5,0,3,11
AANANDABAN,829,40,1666,20,232,2,6,19
PASCHIM AMUWA,1320,9,357,302,181,0,7,16
ASURAINA,22,13,9,980,6,1,0,20
BAGAHA,278,7,5,406,1,3,1,6
BAGAULI,141,28,3,1229,4,1,2,21
BAIRGHAT,118,15,3,587,3,0,2,14
BASANTAPUR,263,25,241,660,4,0,3,9
BETAKUIYA,21,10,0,680,0,0,0,2
BHAGAWANPUR,181,51,29,1301,1,0,0,21
BISHNUPURA,1001,31,27,1145,6,0,0,21
BODAWAR,93,8,16,1084,14,1,55,6
BOGADI,252,34,22,1150,6,1,0,8
BUTWAL MUNICIPALITY,4462,454,24192,19,105,1,49,380
CHHIPAGADH,205,18,28,590,11,0,0,6
CHHOTAKI RAMNAGAR,178,2,25,620,33,0,14,1
CHILHIYA,453,2,250,168,67,0,17,3
DAYANAGAR,724,10,349,503,168,1,13,1
DEVDAHA,4310,30,1784,7,259,1,5,39
DHAKADHAI,256,13,100,712,3,0,16,4
DHAMAULI,287,11,5,530,1,0,0,6
DUDHARAKSHA,3197,16,843,45,230,1,2,8
EKALA,70,17,12,1272,6,0,0,17
PHARENA,227,21,9,373,2,0,0,3
GAJEDI,1902,0,195,269,131,1,12,7
GANGOLIYA,511,4,189,344,87,1,24,12
GONAHA,298,39,185,1384,7,0,12,19
HARNAIYA,43,7,25,647,19,0,0,5
HATI BANGAI,588,8,292,331,18,0,1,9
HATI PHARSATIKAR,102,9,120,565,5,0,3,1
JOGADA,221,8,8,631,1,0,0,23
KAMAHARIYA,1201,51,50,1434,16,1,12,14
KARAHIYA,1288,33,2535,15,349,2,32,13
KARAUTA,16,44,12,1379,3,1,0,32
KERWANI,2054,25,545,195,275,2,14,22
KHADAWA BANGAI,905,8,144,344,147,0,1,6
KHUDABAGAR,139,1,10,524,5,0,0,8
LUMBINI AADARSHA,168,9,51,1104,6,0,5,28
MADHAWALIYA,604,30,1376,120,131,1,5,11
MADHUWANI,94,10,230,733,4,0,1,1
MAINAHIYA,105,5,51,937,17,0,7,3
MAJHAGAWA,24,9,20,783,3,1,1,10
MAKRAHAR,2401,11,581,62,405,0,14,5
MANMATERIYA,825,10,77,468,57,1,0,12
MANPAKADI,602,15,104,342,81,0,0,4
MARYADAPUR,35,8,10,759,1,0,3,3
MASINA,58,7,32,670,8,0,7,5
MOTIPUR,1531,6,471,37,198,0,11,5
PADSARI,533,27,1096,289,26,0,11,6
PAJARKATTI,19,6,16,702,10,1,5,17
SAKRAUN PAKADI,31,10,8,672,2,0,2,6
PARROHA,3204,34,2111,47,299,1,31,4
PATAKHAULI,413,13,23,450,10,0,0,7
POKHARVINDI,193,20,42,672,6,0,1,1
RAYAPUR,177,52,11,1316,3,1,0,8
ROINIHAWA,62,7,8,545,7,0,0,13
RUDRAPUR,3954,5,506,4,89,0,2,7
SADI,133,4,9,786,3,0,3,12
SALJHANDI,1839,7,328,2,134,0,0,9
SEMARA MARCHAWAR,244,15,11,677,0,0,1,24
SEMLAR,1364,9,444,13,332,4,5,5
SHANKAR NAGAR,1276,35,3853,2,158,1,3,27
SIDDHARTHANAGAR MUNICIPALITY,2612,362,8565,782,17,10,28,121
SIKTAHAN,617,17,217,899,38,0,32,23
SILAUTIYA,66,26,9,1152,16,0,0,25
SIPAWA,396,21,10,542,1,0,2,5
SAURAHA PHARSATIKAR,936,8,625,90,327,0,6,0
SURYAPURA,1939,51,114,996,96,0,6,10
TENUHAWA,183,9,51,1162,6,1,5,18
THUMHAWA PIPARHAWA,8,8,16,558,0,0,0,2
TIKULIGADH,1372,15,677,245,269,0,10,4
TOTAL,56264,2005,56066,42519,5171,43,513,1254
