VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AAMA,965,400,5,47,74,101,23
AANANDABAN,455,2115,32,99,7,65,41
PASCHIM AMUWA,423,1330,11,165,40,207,16
ASURAINA,357,496,11,115,10,43,19
BAGAHA,153,450,5,45,0,44,10
BAGAULI,507,616,13,155,4,106,28
BAIRGHAT,134,476,6,80,23,11,12
BASANTAPUR,199,873,1,53,1,70,8
BETAKUIYA,251,406,10,4,9,28,5
BHAGAWANPUR,698,706,2,33,51,77,17
BISHNUPURA,963,570,9,108,101,459,21
BODAWAR,286,561,7,182,1,235,5
BOGADI,445,838,4,106,50,21,9
BUTWAL MUNICIPALITY,1966,25678,371,443,50,481,673
CHHIPAGADH,219,370,19,81,49,111,9
CHHOTAKI RAMNAGAR,249,374,3,31,1,214,1
CHILHIYA,202,610,4,2,3,132,7
DAYANAGAR,419,934,23,15,8,369,1
DEVDAHA,1114,3923,1018,147,32,139,62
DHAKADHAI,230,743,8,21,3,93,6
DHAMAULI,277,389,7,59,18,84,6
DUDHARAKSHA,1735,1808,124,291,120,249,15
EKALA,773,534,14,36,4,13,20
PHARENA,218,268,2,12,54,76,5
GAJEDI,717,619,130,234,365,441,11
GANGOLIYA,225,731,2,93,12,99,10
GONAHA,492,1216,26,127,14,50,19
HARNAIYA,144,489,7,38,5,59,4
HATI BANGAI,200,909,2,39,15,73,9
HATI PHARSATIKAR,133,461,5,43,2,159,2
JOGADA,382,250,1,58,24,155,22
KAMAHARIYA,905,1447,38,133,40,194,22
KARAHIYA,624,3356,28,123,12,88,36
KARAUTA,539,778,1,72,28,34,35
KERWANI,609,1467,240,143,22,616,35
KHADAWA BANGAI,332,902,21,203,10,81,6
KHUDABAGAR,197,428,1,5,28,16,12
LUMBINI AADARSHA,477,623,16,101,22,104,28
MADHAWALIYA,223,1784,53,24,9,18,167
MADHUWANI,424,509,2,93,15,28,2
MAINAHIYA,203,760,6,24,0,129,3
MAJHAGAWA,370,403,0,47,2,16,13
MAKRAHAR,599,1762,209,270,133,485,21
MANMATERIYA,603,598,10,109,10,98,22
MANPAKADI,383,573,3,102,5,76,6
MARYADAPUR,376,317,2,37,8,75,4
MASINA,451,160,2,10,0,159,5
MOTIPUR,319,1493,4,367,14,50,12
PADSARI,147,1700,14,36,5,67,19
PAJARKATTI,196,389,9,44,5,118,15
SAKRAUN PAKADI,305,318,6,26,1,70,5
PARROHA,1241,3774,37,294,24,348,13
PATAKHAULI,181,453,82,52,0,131,17
POKHARVINDI,148,614,5,77,4,86,1
RAYAPUR,753,551,52,77,18,108,9
ROINIHAWA,237,330,1,28,10,23,13
RUDRAPUR,1007,1813,516,68,255,891,17
SADI,414,197,14,252,8,51,14
SALJHANDI,577,934,554,163,56,23,12
SEMARA MARCHAWAR,671,131,7,69,41,24,29
SEMLAR,588,1239,16,124,13,186,10
SHANKAR NAGAR,480,4485,81,115,16,88,90
SIDDHARTHANAGAR MUNICIPALITY,2184,9487,86,249,18,181,292
SIKTAHAN,507,671,45,100,10,487,23
SILAUTIYA,625,424,7,161,27,22,28
SIPAWA,584,236,6,10,42,92,7
SAURAHA PHARSATIKAR,369,1443,7,109,8,52,4
SURYAPURA,922,1175,35,360,157,548,15
TENUHAWA,540,650,24,61,4,101,55
THUMHAWA PIPARHAWA,247,264,1,6,45,24,5
TIKULIGADH,672,1616,28,74,16,179,7
TOTAL,36760,100397,4151,7380,2291,10631,2225
