VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AAMA,1612,2,0,1
AANANDABAN,1976,661,54,123
PASCHIM AMUWA,2062,121,3,6
ASURAINA,1048,3,0,0
BAGAHA,705,0,0,2
BAGAULI,1423,2,2,2
BAIRGHAT,742,0,0,0
BASANTAPUR,1141,58,2,4
BETAKUIYA,713,0,0,0
BHAGAWANPUR,1574,7,2,1
BISHNUPURA,2213,14,3,1
BODAWAR,1271,1,1,4
BOGADI,1469,3,0,1
BUTWAL MUNICIPALITY,16023,12841,547,251
CHHIPAGADH,853,4,0,1
CHHOTAKI RAMNAGAR,869,3,0,1
CHILHIYA,938,17,1,4
DAYANAGAR,1650,47,5,67
DEVDAHA,5642,709,14,70
DHAKADHAI,1074,22,0,8
DHAMAULI,837,3,0,0
DUDHARAKSHA,3937,365,0,40
EKALA,1390,0,4,0
PHARENA,634,0,1,0
GAJEDI,2449,58,1,9
GANGOLIYA,1129,27,1,15
GONAHA,1893,39,1,11
HARNAIYA,738,8,0,0
HATI BANGAI,1184,60,0,3
HATI PHARSATIKAR,791,6,2,6
JOGADA,888,3,1,0
KAMAHARIYA,2726,47,2,4
KARAHIYA,3180,990,28,69
KARAUTA,1487,0,0,0
KERWANI,2970,107,7,48
KHADAWA BANGAI,1524,24,1,6
KHUDABAGAR,686,1,0,0
LUMBINI AADARSHA,1356,6,6,3
MADHAWALIYA,1766,443,56,13
MADHUWANI,979,83,7,4
MAINAHIYA,1087,3,0,35
MAJHAGAWA,843,7,0,1
MAKRAHAR,3273,156,3,47
MANMATERIYA,1416,31,1,2
MANPAKADI,1116,24,0,8
MARYADAPUR,814,0,0,5
MASINA,769,17,0,1
MOTIPUR,2099,122,5,33
PADSARI,1531,353,81,23
PAJARKATTI,773,3,0,0
SAKRAUN PAKADI,729,2,0,0
PARROHA,5053,643,6,29
PATAKHAULI,912,2,1,1
POKHARVINDI,930,3,1,1
RAYAPUR,1564,4,0,0
ROINIHAWA,639,3,0,0
RUDRAPUR,4341,198,4,24
SADI,945,3,2,0
SALJHANDI,2112,177,5,25
SEMARA MARCHAWAR,971,1,0,0
SEMLAR,2008,112,5,51
SHANKAR NAGAR,3696,1543,23,93
SIDDHARTHANAGAR MUNICIPALITY,8596,3511,309,81
SIKTAHAN,1811,26,2,4
SILAUTIYA,1294,0,0,0
SIPAWA,977,0,0,0
SAURAHA PHARSATIKAR,1753,221,6,12
SURYAPURA,3165,24,0,23
TENUHAWA,1415,19,0,1
THUMHAWA PIPARHAWA,590,2,0,0
TIKULIGADH,2352,177,13,50
TOTAL,137116,24172,1219,1328
