VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
AAMA,11263,5739,5524,25,12,13,13,5,8,1,0,1,4,3,1,11,8,3,11,7,4,2,2,0,10,5,5
AANANDABAN,12274,5807,6467,36,25,11,28,18,10,10,5,5,6,4,2,20,10,10,13,7,6,8,4,4,11,7,4
PASCHIM AMUWA,11079,5203,5876,57,36,21,20,11,9,8,5,3,6,4,2,19,11,8,17,12,5,3,1,2,22,13,9
ASURAINA,7212,3746,3466,14,11,3,5,3,2,1,0,1,1,1,0,2,0,2,3,3,0,1,1,0,10,6,4
BAGAHA,5201,2657,2544,15,8,7,4,2,2,0,0,0,0,0,0,2,1,1,5,1,4,0,0,0,1,0,1
BAGAULI,9672,4894,4778,43,21,22,12,6,6,10,6,4,8,5,3,12,7,5,19,15,4,1,0,1,3,2,1
BAIRGHAT,5992,3092,2900,31,21,10,28,12,16,2,2,0,0,0,0,4,3,1,0,0,0,0,0,0,1,1,0
BASANTAPUR,8100,4038,4062,24,9,15,5,3,2,10,6,4,1,1,0,6,5,1,8,4,4,5,3,2,4,3,1
BETAKUIYA,5001,2444,2557,15,8,7,6,4,2,8,4,4,1,0,1,7,2,5,2,0,2,1,0,1,5,3,2
BHAGAWANPUR,11504,5846,5658,36,18,18,6,5,1,8,4,4,0,0,0,10,6,4,9,5,4,2,1,1,2,1,1
