VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
BADAGAUN,1,63,0,324,339,1
BAFUKHOLA,3,103,0,355,171,7
BAJH KANDA,143,255,1,97,86,3
BAME,2,167,1,361,425,3
BHALCHAUR,5,85,1,516,669,9
CHANDE,2,0,2,232,614,26
CHHAYACHHETRA,519,665,0,68,50,0
DAMACHAUR,62,202,3,625,275,5
DANDAGAUN,473,316,0,60,135,1
DARMAKOT,1,4,0,389,590,5
DEVSTHAL,2,59,0,478,461,2
DHAJARI PIPAL,5,94,1,550,465,2
DHAKADAM,3,39,2,472,663,7
DHANWANG,573,384,1,224,30,3
HIWALCHA,277,213,0,120,277,5
JIMALI,3,2,3,369,229,5
KABHRECHAUR,2,114,0,194,722,8
KAJERI,314,432,0,109,171,39
KALAGAUN,1,65,2,753,545,12
KALIMATI KALCHE,4,317,3,356,476,32
KALIMATI RAMPUR,2,159,0,518,631,14
KARAGITHI,2,355,0,120,65,0
KAVRA,158,414,2,138,19,2
KHALANGA,1685,163,2,7,35,51
KORBANG JHIMPE,176,209,2,423,410,7
KOTBARA,4,30,0,628,398,16
KOTMALA,10,75,0,719,163,0
KUPINDE DAHA,84,233,0,352,551,16
LAXMIPUR,3,103,1,347,334,3
LEKHPOKHARA,2,151,0,365,186,3
MAJH KANDA,4,84,0,306,539,3
MARKE,295,284,0,104,146,3
MARMAPARIKANDA,2,1,0,523,339,0
MULKHOLA,0,24,0,518,534,0
NIGALCHULA,1,37,0,126,268,5
PHALAWANG,145,633,2,265,77,6
PIPAL NETA,47,135,0,198,46,1
RIM,242,292,0,173,127,1
SAIJUWAL TAKURA,486,241,2,7,34,6
SARPANI GARPA,31,270,0,547,40,0
SIBARATHA,4,187,1,629,316,0
SIDDHESWAR,81,172,0,438,243,9
SINWANG,11,97,0,311,290,10
SUIKOT,8,49,0,631,463,12
SYANIKHAL,244,336,0,146,156,16
THARMARE,274,25,0,698,661,2
TRIBENI,364,359,0,186,131,4
TOTAL,6760,8697,32,16075,14595,365
