VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BADAGAUN,859,1014,694,773,160,230,5,11
BAFUKHOLA,910,1100,708,760,189,292,13,48
BAJH KANDA,693,831,583,635,108,194,2,2
BAME,1146,1359,823,865,281,392,42,102
BHALCHAUR,1682,1811,1332,1313,340,495,10,3
CHANDE,1263,1410,815,784,431,582,17,44
CHHAYACHHETRA,1181,1396,985,990,171,344,25,62
DAMACHAUR,1260,1371,974,1047,260,298,26,26
DANDAGAUN,938,1206,762,886,134,259,42,61
DARMAKOT,1216,1313,875,884,313,373,28,56
DEVSTHAL,995,1200,738,809,199,319,58,72
DHAJARI PIPAL,1370,1508,878,906,403,507,89,95
DHAKADAM,1763,1986,1352,1471,378,475,33,40
DHANWANG,1209,1304,950,901,252,378,7,25
HIWALCHA,878,1045,663,701,147,247,68,97
JIMALI,864,876,663,633,195,238,6,5
KABHRECHAUR,1354,1344,886,766,411,480,57,98
KAJERI,1194,1351,942,901,216,405,36,45
KALAGAUN,1557,1755,1261,1301,281,438,15,16
KALIMATI KALCHE,1496,1676,1032,1121,458,546,6,9
KALIMATI RAMPUR,1539,1693,1285,1322,223,339,31,32
KARAGITHI,641,814,540,611,92,195,9,8
KAVRA,780,927,546,582,177,289,57,56
KHALANGA,1400,1540,1070,1093,274,375,56,72
KORBANG JHIMPE,1312,1752,942,1093,293,539,77,120
KOTBARA,1609,1682,1200,1181,329,395,80,106
KOTMALA,1044,1120,868,878,172,241,4,1
KUPINDE DAHA,1713,1873,1169,1139,512,689,32,45
LAXMIPUR,1003,1067,734,722,235,329,34,16
LEKHPOKHARA,772,865,635,668,108,173,29,24
MAJH KANDA,1296,1353,872,819,378,444,46,90
MARKE,984,1062,768,741,172,203,44,118
MARMAPARIKANDA,1084,1181,852,852,213,287,19,42
MULKHOLA,1269,1404,982,929,286,475,1,0
NIGALCHULA,580,616,462,445,115,167,3,4
PHALAWANG,1246,1399,921,942,284,413,41,44
PIPAL NETA,420,483,340,383,55,78,25,22
RIM,943,1044,703,753,232,278,8,13
SAIJUWAL TAKURA,635,787,512,552,116,206,7,29
SARPANI GARPA,1167,1258,732,777,384,421,51,60
SIBARATHA,1544,1754,1129,1265,396,449,19,40
SIDDHESWAR,1184,1307,869,872,264,345,51,90
SINWANG,773,887,546,576,219,304,8,7
SUIKOT,1265,1564,921,984,296,533,48,47
SYANIKHAL,1032,1198,764,794,162,272,106,132
THARMARE,2094,2213,1624,1640,434,535,36,38
TRIBENI,1003,1169,793,834,208,329,2,6
INSTITUTIONAL,192,1,1,0,188,1,3,0
