VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ANKHIBHUI,1544,4,2,0,1,0,0,0
BAHRABISE,606,2,3,0,1,0,0,10
BALA,562,2,0,0,0,0,0,3
BANA,1166,8,1,0,2,0,0,6
BANESWOR,853,0,7,0,4,0,0,0
CHAINPUR,1073,0,216,0,9,1,3,10
CHEPUWA,400,1,1,0,1,0,0,1
DHUPU,934,6,4,0,0,0,0,2
DIDING,641,0,0,0,0,0,0,1
HATIYA,658,0,1,0,0,0,0,2
JALJALA,1169,3,1,0,1,1,0,0
KEEMATHNKA,71,0,1,0,0,0,0,0
KHANDBARI MUNICIPALITY,5103,77,1011,0,17,18,7,57
KHARANG,1169,9,49,0,2,2,0,8
MADI MULKHARKA,1288,6,2,0,1,0,0,2
MADI RAMBENI,1175,1,13,0,4,0,0,3
MAKALU,840,2,0,0,0,0,1,6
MAMLING,793,1,19,0,14,0,0,0
MANGTEWA,410,0,0,0,0,0,0,1
MATSYA POKHARI,874,1,0,0,0,0,0,1
MAWADIN,700,20,1,0,0,0,0,0
NUM,756,0,11,0,1,0,0,4
NUNDHAKI,552,1,0,0,0,0,0,0
PATHIBHARA,715,3,0,0,0,0,0,0
PAWAKHOLA,562,0,0,0,2,1,0,1
SABHA POKHARI,618,2,2,0,0,0,0,2
SIDDHAKALI,1137,5,14,0,1,0,0,4
SIDDHAPOKHARI,797,2,6,0,1,2,0,1
SISUWAKHOLA,589,10,0,0,0,0,0,5
SITALPATI,1142,4,4,0,1,3,0,2
SYABUN,1267,7,0,0,0,0,0,2
TAMAFOK,1506,2,61,1,6,1,1,2
TAMKU,567,0,1,0,0,0,0,2
YAFU,516,2,0,0,0,0,0,1
TOTAL,32753,181,1431,1,69,29,12,139
