VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ANKHIBHUI,1156,10,25,358,1,0,1
BAHRABISE,347,5,18,237,1,0,14
BALA,423,1,23,111,1,5,3
BANA,678,2,61,434,0,1,7
BANESWOR,764,2,0,98,0,0,0
CHAINPUR,1048,16,4,227,5,2,10
CHEPUWA,210,0,24,0,0,169,1
DHUPU,585,2,39,315,0,1,4
DIDING,327,2,55,254,1,2,1
HATIYA,421,0,2,52,2,181,3
JALJALA,916,0,8,246,1,2,2
KEEMATHNKA,1,2,2,0,1,66,0
KHANDBARI MUNICIPALITY,4439,281,104,1337,38,23,68
KHARANG,862,5,8,353,0,3,8
MADI MULKHARKA,1188,16,15,71,0,6,3
MADI RAMBENI,1081,2,4,95,0,11,3
MAKALU,709,13,23,90,0,9,5
MAMLING,730,9,2,84,0,2,0
MANGTEWA,316,0,0,93,0,0,2
MATSYA POKHARI,755,1,28,86,0,4,2
MAWADIN,661,1,6,45,0,0,8
NUM,536,2,25,195,0,10,4
NUNDHAKI,484,2,8,58,0,0,1
PATHIBHARA,622,3,4,86,0,0,3
PAWAKHOLA,303,0,25,177,1,59,1
SABHA POKHARI,371,2,25,219,0,0,7
SIDDHAKALI,1004,1,5,144,0,2,5
SIDDHAPOKHARI,685,2,4,115,0,1,2
SISUWAKHOLA,94,1,99,403,0,2,5
SITALPATI,538,2,35,577,0,0,4
SYABUN,562,1,98,611,0,2,2
TAMAFOK,1399,12,40,123,0,3,3
TAMKU,347,1,47,147,0,27,1
YAFU,298,4,24,188,0,0,5
TOTAL,24860,403,890,7629,52,593,188
