VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ARNAHA,116,139,18,641,5,7,21
AURAHI,150,279,12,695,4,0,13
BADGAMA,52,157,2,683,0,0,6
BAIRAWA,24,161,11,562,1,0,3
BAKDHAUWA,216,332,41,1006,3,2,40
BAMANGAMAKATTI,147,171,11,997,1,0,4
BANAINIYA,81,107,1,499,0,1,11
BANARJHULA,10,284,8,545,0,0,12
BANAULA,24,175,1,407,1,1,7
BANAULI,29,144,3,858,1,0,12
BARAMJHIYA,102,124,12,508,1,0,158
BARSAIN (KO.),13,124,1,844,0,0,9
BASBALPUR,7,98,1,481,3,19,6
BASBITI,192,107,3,381,0,0,0
BATHANAHA,11,368,1,797,0,0,3
BELHI,50,113,5,533,4,1,18
BELHICHAPENA,27,188,4,857,1,2,26
BHAGAWATPUR,39,98,6,817,2,0,6
BHANGAHA,17,213,2,895,0,3,4
BHARDAHA,68,174,8,977,6,3,9
BHUTAHI,68,115,4,591,0,0,7
BIRPUR BARAHI,35,343,3,750,0,56,6
BISHAHARIYA,105,130,61,1081,2,1,30
BODEBARSAIEN,33,277,3,613,2,2,21
BORIYA,25,122,0,755,1,0,3
BRAHMAPUR,79,139,6,479,8,161,14
CHHINNAMASTA,59,244,3,1418,2,174,16
DADHA,8,134,4,899,0,0,4
DAULATPUR,20,77,15,878,0,0,9
DEURI,16,126,15,741,3,2,33
DEURIMARUWA,70,107,2,348,1,0,14
DHANAGADI,44,214,8,672,2,0,14
DHARAMPUR,5,300,16,793,0,0,18
DHODHANPUR,5,386,31,643,0,0,12
DIDHAWA,10,57,3,693,0,0,8
DIMAN,5,76,6,688,1,0,34
FAKIRA,154,94,19,597,0,0,10
FARSETH,9,161,1,465,0,0,2
FATEPUR,17,702,44,1731,1,7,22
FULKAHI,138,147,7,540,2,0,45
GAMHARIYA PARWAHA,21,120,9,904,0,4,12
GOBAR GADA,14,0,1,272,1,0,1
GOITHI,21,60,7,631,1,0,4
HANUMANNAGAR,22,273,3,605,0,14,40
HARDIYA,7,93,6,1010,2,4,17
HARIHARPUR,82,144,18,660,1,0,29
HARIPUR,18,106,1,853,0,0,1
INARWA,55,66,4,512,0,0,10
INARWA FULBARIYA,62,270,7,675,1,1,11
ITAHARI BISHNUPUR,126,324,9,790,3,3,14
JAGATPUR,47,149,8,670,1,0,5
JAMUNIMADHEPURA,25,172,9,1124,2,2,8
JANDAUL,5,165,59,633,1,0,7
JHUTAKI,24,43,1,570,0,0,31
JOGINIYA-1,219,119,9,377,2,0,12
JOGINIYA-2,11,66,0,578,0,0,198
KABILASH,28,147,21,528,0,0,18
KACHAN,12,91,2,673,1,10,4
KALYANPUR,234,806,37,602,1,1,24
KAMALPUR,3,111,3,894,1,1,25
KANCHANPUR,187,573,53,608,2,8,21
KATAIYA,4,166,8,781,0,0,6
KHADGAPUR,236,104,9,534,1,0,16
KHOJPUR,28,265,5,669,2,2,7
KHOKSARPARBAHA,6,223,5,648,6,0,9
KO. MADHEPURA,37,153,27,664,3,1,1
KOCHABAKHARI,40,95,48,965,1,1,184
KOILADI,4,178,2,690,0,0,0
KUSHAHA,35,346,99,761,0,1,11
LALAPATI,21,201,107,613,1,0,53
LAUNIYA,13,50,1,639,0,0,4
LOHAJARA,16,65,6,922,2,0,60
MADHAWAPUR,44,99,5,1075,2,0,27
MADHUPATI,9,99,16,759,0,0,9
MAHADEVA,51,109,8,877,1,1,19
MAINAKADERI,12,48,4,387,0,0,103
MAINASAHASRABAHU,61,215,3,488,0,5,7
MALEKPUR,54,196,2,889,5,108,4
MALETH,30,257,24,784,1,2,44
MALHANAMA,24,92,1,636,7,5,17
MALHANIYA,119,184,15,1228,6,0,6
MANRAJA,29,307,0,565,0,0,1
MAUWAHA,31,192,7,635,0,0,19
MOHANPUR,68,400,3,650,1,1,15
NARDHO,31,138,9,1052,3,72,6
NEGADA,21,196,52,599,5,9,7
ODRAHA,2,36,3,930,0,0,6
PAKARI,61,87,5,877,4,0,98
PANSERA,18,212,12,686,1,0,24
PATERWA,30,90,17,608,0,0,13
PATO,71,225,13,679,1,85,4
PATTHARGADA,33,158,5,708,3,52,16
PIPRA PURBA,105,44,6,658,0,1,5
PIPRA PASCHIM,86,112,7,656,0,0,11
PORTAHA,38,201,1,734,1,0,11
PRASABANI,12,126,3,1079,0,0,6
RAJBIRAJ MUNICIPALITY,585,5384,82,1476,14,15,187
RAMNAGAR,11,42,0,389,0,21,7
RAMPURAMALHANIYA,20,65,68,1026,2,0,4
RAMPURJAMUWA,23,86,3,618,0,24,1
RAUTAHAT,6,76,4,536,1,14,23
RAYAPUR,26,451,5,1405,1,0,8
RUPNAGAR,127,321,10,593,1,1,10
SAMBHUNATH,45,263,3,937,0,2,28
SANKARPURA,14,49,10,689,7,9,7
SARASWOR,51,214,6,626,10,2,35
SIMRAHA SIGIYOUN,38,133,19,699,47,125,21
SISWA BEIHI,170,164,3,766,14,9,15
SITAPUR,28,181,21,605,0,1,7
TARAHI,75,107,11,577,3,32,39
TERAHAUTA,30,206,10,779,1,0,29
THELIYA,6,194,13,985,0,0,4
TIKULIYA,9,70,18,547,1,1,10
TILATHI,7,211,0,422,0,0,5
TRIKAULA,95,76,18,674,0,1,55
TOTAL,6349,25367,1511,84001,237,1093,2506
