VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ACHALGADH,642,0,0,0
ARNAHA,636,2,0,1
ATROULI,1263,8,0,5
AURAHI,1142,1,2,12
BABARGANJ,2152,3,2,6
BAGDAHA,1089,2,0,11
BAHADURPUR,362,0,0,0
BALARA,1441,2,0,1
BARA UDHORAN,912,1,0,1
BARAHATHAWA,2802,203,0,38
BASANTAPUR,1987,4,0,4
BATRAUL,776,2,0,0
BELA,769,0,0,4
BELHI,581,1,0,0
BELWA JABDI,861,0,0,10
BHADSAR,637,1,1,2
BHAGAWATIPUR,746,0,0,2
BHAKTIPUR,2913,31,20,20
BHAWANIPUR,563,0,1,0
BRAHMAPURI,1449,1,1,1
CHANDRA NAGAR,1451,2,1,4
CHHATAUL,991,1,1,1
CHHATONA,547,0,0,1
DHANAKAUL PACHHAWARI,652,0,0,0
DHANAKAUL PURBA,1313,1,2,0
DHANGADHA,1139,0,0,1
DHUNGREKHOLA,2670,31,4,6
DHURKAULI,1793,6,0,14
DUMARIYA,811,2,0,0
FARAHADAWA,1005,0,0,11
FULPARASI,585,1,0,1
GADAHIYABAIRI,1088,5,2,0
GAMHARIYA,1233,2,3,1
GODETA,1060,12,1,0
GOURISHANKAR,2444,4,1,8
HAJARIYA,2805,4,1,4
HARAKTHAWA,913,0,1,1
HARIPUR,2175,36,2,18
HARIPURWA,2578,9,2,4
HARIYON,3538,386,47,63
HATHIYOL,1456,11,1,0
HEMPUR,1238,2,0,0
ISHWORPUR,3715,128,2,23
JABDI,1766,40,1,1
JAMUNIYA,1280,2,1,1
JANAKI NAGAR,1498,4,1,25
JINGADAWA,618,2,1,1
KABILASI,1869,3,1,9
KALINJOR,975,5,0,11
KARMAIYA,1645,60,22,67
KHIRWA,1874,1,0,1
KHORIYA,731,1,0,1
KHUTAUNA,762,4,0,0
KISANPUR,880,0,2,4
KAUDENA,1199,12,0,1
LALBANDI,2622,563,48,62
LAUKATH,1125,1,1,2
LAXMIPUR KODRAHA,1451,6,0,3
LAXMIPUR SU.,884,0,0,4
MADHUBANGOTH,942,2,0,7
MADHUBANI,712,5,1,33
MAHINATHPUR,608,1,0,1
BHELHI,751,2,1,0
MALANGAWA MUNICIPALITY,3858,536,11,28
MANPUR,1348,1,1,2
MIRJAPUR,736,1,1,1
MOHANPUR,1024,2,0,7
MOTIPUR,634,1,2,0
MURTIYA,1537,14,7,4
MUSAULI,828,4,0,1
NARAYAN KHOLA,708,0,0,3
NARAYANPUR,564,0,0,1
NETRAGANJ,1792,251,34,14
NOUKAILAWA,1950,0,0,1
PARSA,987,4,1,0
PARWANIPUR,1673,9,2,12
PATTHARKOT,1479,10,0,27
PIDARI,906,10,0,1
PIDARIYA,850,1,0,0
PIPARIYA,1208,9,0,1
RAJGHAT,2008,8,2,22
RAMBAN,840,1,0,0
RAMNAGAR BAHUARWA,978,2,0,0
RANIGANJ,1090,13,8,10
ROHUWA,519,0,1,0
SAKRAUL,748,0,0,1
SALEMPUR,1213,5,0,29
SANGRAMPUR,1156,6,1,0
SANKARPUR,1641,23,1,6
SASAPUR,1225,10,2,9
SHREEPUR,756,0,1,1
SIKHAUNA,791,0,0,2
SIMARA,1358,3,0,4
SISOTIYA,1603,1,1,29
SISOUT,1275,4,1,3
SAHODAWA,638,0,0,5
SUDAMA,650,0,1,0
SUNDARPUR,1084,2,0,0
SUNDARPUR CHOHARWA,1900,2,3,7
TRIBHUWAN NAGAR,570,7,1,0
TOTAL,129240,2559,260,744
