VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AMALE,405,2,2,6
ARUNTHAKUR,998,4,0,8
BAHUNTILPUNG,550,5,0,4
BALAJOR,734,0,0,0
BASESHWOR,601,12,1,6
BASTIPUR,543,2,0,0
BELGHARI,729,9,2,9
BHADRAKALI,820,16,0,12
BHIMESHWOR,422,37,0,0
BHIMSTHAN,1130,22,1,7
BHUWANESHORI GWALTAR,343,22,2,4
BITIJOR BAGAIYA,349,0,0,0
DADIGURANSHE,948,21,0,4
DUDBHANJYANG,521,5,0,3
DUDHOULI,1675,67,0,16
HARIHARPUR GADHI,701,4,2,1
HARSAHI,959,8,5,1
HATPATE,1596,19,1,7
JALKANYA,390,1,0,4
JARAYOTAR,1406,10,0,9
JHANGAJHOLI RATMATA,1138,40,0,16
JINAKHU,942,3,1,3
KAKUR THAKUR,980,0,1,14
KALPABRISHYKHA,1565,16,2,11
KAMALAMAI MUNICIPALITY,7018,2144,64,78
KAPILAKOT,1890,59,1,17
KHANG SANG,498,12,0,0
KHOLAGAUN,517,9,0,2
KUSESWOR DUMJA,988,15,2,5
KYANESHWOR,1603,8,1,5
LADABHIR,1549,18,1,17
LAMPANTAR,1110,34,1,6
MAHADEVDADA,654,3,0,0
MAHADEVSTHAN,1275,24,0,10
MAHENDRA JHYADI,954,7,0,1
MAJHUWA,514,8,0,4
NETRAKALI,604,2,0,0
NIPANE,697,1,0,4
PIPALMADI,1286,5,0,8
PURANO JHANGAJHOLI,999,12,0,4
RANIBAS,1084,19,1,6
RANICHURI,1671,8,0,6
RATANCHURA,521,24,0,3
RATNAWATI,489,3,0,1
SANTESWORI (RAMPUR),442,3,1,0
SIRTHOULI,1601,46,5,21
SITALPATI,805,5,1,1
SOLPATHANA,390,1,0,4
SUNAM POKHARI,438,11,0,3
TAMAJOR,445,0,0,0
TANDI,1885,3,0,8
TINKANYA,801,4,0,0
TOSRAMKHOLA,330,0,0,0
AMBOTE,766,2,2,1
TOTAL,54269,2815,100,360
