VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
AMALE,288,30,92,1,0,0,0,4
ARUNTHAKUR,532,78,371,1,14,0,2,12
BAHUNTILPUNG,323,23,210,1,0,0,0,2
BALAJOR,369,7,352,5,0,0,0,1
BASESHWOR,463,35,119,2,0,0,0,1
BASTIPUR,275,227,37,0,2,0,0,4
BELGHARI,305,21,420,1,1,0,0,1
BHADRAKALI,183,105,556,2,1,0,1,0
BHIMESHWOR,219,143,85,7,0,0,0,5
BHIMSTHAN,252,10,871,1,4,0,6,16
BHUWANESHORI GWALTAR,225,56,52,0,0,1,34,3
BITIJOR BAGAIYA,301,17,28,0,0,0,0,3
DADIGURANSHE,79,26,839,1,2,0,8,18
DUDBHANJYANG,458,30,38,1,0,0,1,1
DUDHOULI,237,19,1405,33,24,2,0,38
HARIHARPUR GADHI,352,158,179,1,15,0,0,3
HARSAHI,144,9,797,1,2,0,0,20
HATPATE,342,29,1238,7,2,0,2,3
JALKANYA,149,124,119,1,0,0,0,2
JARAYOTAR,509,76,830,0,0,0,4,6
JHANGAJHOLI RATMATA,582,265,337,2,0,0,0,8
JINAKHU,663,50,215,1,3,0,1,16
KAKUR THAKUR,422,90,464,3,2,1,0,13
KALPABRISHYKHA,397,19,1152,0,8,0,10,8
KAMALAMAI MUNICIPALITY,325,1061,6466,1335,37,4,14,62
KAPILAKOT,780,381,779,11,11,0,1,4
KHANG SANG,324,25,148,0,0,1,8,4
KHOLAGAUN,376,12,135,0,0,0,0,5
KUSESWOR DUMJA,310,509,186,2,0,0,0,3
KYANESHWOR,643,31,896,0,22,2,3,20
LADABHIR,223,32,1320,3,0,0,0,7
LAMPANTAR,334,68,724,1,2,0,14,8
MAHADEVDADA,540,26,87,0,0,2,0,2
MAHADEVSTHAN,151,57,1087,0,1,0,2,11
MAHENDRA JHYADI,357,45,540,1,6,0,0,13
MAJHUWA,300,112,114,0,0,0,0,0
NETRAKALI,180,422,1,1,0,0,0,2
NIPANE,163,10,522,0,6,0,0,1
PIPALMADI,451,63,763,2,5,0,0,15
PURANO JHANGAJHOLI,526,183,304,0,0,0,1,1
RANIBAS,164,4,928,1,4,0,2,7
RANICHURI,569,64,1025,3,8,0,2,14
RATANCHURA,295,155,89,8,0,0,0,1
RATNAWATI,394,14,69,4,0,1,4,7
SANTESWORI (RAMPUR),305,133,4,0,0,0,0,4
SIRTHOULI,224,27,1392,5,3,0,2,20
SITALPATI,396,197,209,0,0,0,0,10
SOLPATHANA,281,1,106,1,0,2,0,4
SUNAM POKHARI,328,15,109,0,0,0,0,0
TAMAJOR,216,216,12,0,0,0,0,1
TANDI,304,42,1497,5,8,0,28,12
TINKANYA,687,40,73,0,0,0,0,5
TOSRAMKHOLA,279,11,39,0,0,0,0,1
AMBOTE,461,11,289,0,4,0,0,6
TOTAL,18955,5614,30719,1455,197,16,150,438
