VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ATARPUR,414,0,32,6,3,0,7,2
BADEGAU,608,0,28,135,340,30,4,15
BANSBARI,945,0,114,7,33,0,0,3
BANSKHARKA,454,0,4,33,97,0,0,0
BARAMCHI,697,0,0,2,3,0,0,3
BARHABISE,1549,0,25,13,90,0,1,5
BARUWA,191,0,0,4,292,0,0,0
BATASE,1055,0,14,26,53,1,0,3
BHIMTAR,820,0,6,45,19,1,0,1
BHOTASIPA,928,0,8,39,12,2,1,4
BHOTE NAMLANG,257,0,24,8,497,0,0,6
BHOTECHAUR,658,0,4,52,347,0,0,13
CHOKATI,505,0,0,1,118,3,0,0
CHAUTARA,1508,0,2,34,38,0,0,36
DHUMTHANG,662,0,0,30,136,21,0,2
DUBACHOUR,879,0,26,48,309,3,99,11
FATAKSHILA,479,0,83,158,164,3,0,7
FULPINGDANDA,957,0,4,18,65,0,6,4
FULPINGKATTI,705,0,0,1,50,20,3,4
FULPINGKOT,854,0,3,2,40,0,0,5
GATI,613,0,2,23,198,36,0,2
GHORTHALI,434,0,0,1,3,24,3,0
DHUSKUN,656,0,22,3,69,9,0,0
GLOCHE,551,0,0,20,158,0,0,2
GUMBA,498,0,1,0,174,0,0,1
GUNSAKOT,363,0,0,0,81,0,0,5
HAGAM,585,0,1,4,199,2,14,13
HAIBUNG,458,0,0,7,106,1,0,4
HELAMBU,258,0,0,2,387,8,0,1
ICHOK,870,0,2,12,341,38,0,7
IRKHU,594,0,1,27,122,0,0,7
JALBIRE,606,0,1,0,2,1,0,1
JETHAL,613,0,0,0,5,0,0,2
JYAMIRE,990,0,3,5,192,6,1,2
KADAMBAS,827,0,1,0,1,0,0,5
KALIKA,392,0,0,16,134,2,0,1
KARTHALI,740,0,0,0,86,2,0,8
KIWOOL,292,0,0,0,464,4,1,3
KUBHINDE,651,0,0,0,38,0,0,4
KUNCHOK,642,0,0,15,268,0,0,2
LANGARCHE,398,0,1,15,178,0,0,0
LISANKHU,858,0,5,43,12,15,1,4
LISTIKOT,721,0,2,7,195,21,0,3
MAHANKAL,938,0,3,1,77,0,0,5
MANESWNARA,755,0,0,0,28,1,0,5
MANKHA,1628,1,1,21,185,11,1,12
MARMING,691,0,0,9,11,4,1,2
MELAMCHI,778,0,13,20,336,23,4,5
BHOTANG,366,1,0,2,246,1,8,0
NAWALPUR,718,0,1,15,57,6,0,0
PAGRETAR,700,0,1,4,36,3,15,3
PALCHOK,376,0,0,67,44,0,0,2
PANGTANG,484,0,0,0,0,0,0,3
PETAKU,367,0,0,0,23,0,0,1
PIPALDANDA,733,0,0,9,45,0,0,0
PISKAR,488,0,1,0,38,11,0,0
RAMCHE,958,0,3,16,12,4,0,6
SANGACHOK,1935,1,60,18,87,0,6,21
SANUSIRUWARI,695,0,20,16,32,0,0,16
SELANG,458,0,0,1,61,1,1,4
SIKHARPUR,428,0,3,4,144,0,0,4
SINDHUKOT,406,0,0,13,251,6,0,5
SIPA POKHARE,659,0,34,77,50,6,0,7
SIPAL KAVRE,592,0,0,9,0,3,0,4
SUNKHANI,436,0,0,1,189,0,0,0
SYAULE BAZAR,817,0,0,4,2,6,0,4
TALAMARANG,536,0,0,13,164,0,1,2
TATOPANI,1590,0,8,1,105,20,1,8
TAUTHALI,741,0,11,16,0,5,0,3
TEKANPUR,411,0,1,0,8,1,1,0
THAKANI,612,0,0,12,93,1,0,0
THAMPAL CHHAP,390,0,0,0,411,0,0,21
THANGPALKOT,312,0,2,0,322,0,17,0
THOKARPA,775,0,0,19,234,1,1,6
THULO DHADING,373,0,9,16,110,1,0,0
THULO PAKHAR,739,0,1,1,16,0,0,1
THULO SIRUBARI,884,0,137,11,290,0,0,9
THUM PAKHAR,922,0,1,0,66,0,0,8
YAMUNADANDA,373,0,2,6,12,0,0,0
TOTAL,53799,3,731,1264,9904,368,198,368
