VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARNAMALALPUR,1909,2048,1246,1079,585,871,78,98
ARNAMARAMPUR,712,873,494,481,190,304,28,88
ASANPUR,2546,2638,1821,1605,679,968,46,65
ASHOKPUR BALKAWA,1113,1277,657,565,435,689,21,23
AURAHI,1202,1289,704,604,469,653,29,32
AYODHYANAGAR,1002,986,688,591,276,353,38,42
BADHARAMAL,3408,3651,2259,1951,986,1455,163,245
BARCHHAWA,736,857,359,344,316,449,61,64
BARIYARPATTI,1100,1161,679,554,419,606,2,1
BASTIPUR,1356,1429,926,836,413,567,17,26
BELAHA,1315,1513,898,762,370,605,47,146
BELHI,800,929,524,447,127,269,149,213
BETAUNA,1093,1224,644,485,444,735,5,4
BHADAIYA,1210,1382,619,502,566,834,25,46
BHAGWANPUR,838,911,538,457,286,436,14,18
BHAGAWATIPUR,859,1078,586,541,198,359,75,178
BHAWANIPUR,1126,1219,791,666,312,518,23,35
BHAWANPUR KALABANZAR,791,868,503,434,288,434,0,0
BHOKRAHA,354,417,244,202,109,214,1,1
BISHNUPUR PRA.MA.,1092,1138,816,694,217,340,59,104
BISHNUPUR PRA.RA,1111,1249,749,614,345,609,17,26
BISHNUPURKATTI,2396,2549,1489,1337,780,1061,127,151
BRAHMAGAUGHADI,687,743,499,475,188,266,0,2
CHANDRA AYODHYAPUR,1586,1742,776,622,670,894,140,226
CHANDRALALPUR,1295,1374,703,680,581,679,11,15
CHANDRODAYAPUR,1341,1432,916,791,413,626,12,15
CHATARI,569,669,322,218,207,344,40,107
CHIKANA,766,761,310,221,425,508,31,32
DEVIPUR,848,935,563,510,280,418,5,7
DHANGADI,2253,2382,1510,1353,683,954,60,75
DHODHANA,1026,1052,647,580,236,307,143,165
DUMARI,880,850,452,296,335,492,93,62
DURGAPUR,888,976,629,560,219,361,40,55
FULBARIYA,2282,2367,1388,1187,865,1162,29,18
FULKAHA KATI,2185,2329,1443,1245,580,820,162,264
GADHA,949,1060,638,520,265,453,46,87
GAURIPUR,670,697,529,415,106,204,35,78
GAUTARI,717,894,513,519,194,366,10,9
GOVINDAPUR MALAHANAMA,1580,1578,1001,843,570,728,9,7
GOVINDPUR TAREGANA,1143,1316,690,660,352,499,101,157
HAKPARA,903,1075,615,590,239,443,49,42
HANUMANNAGAR,1387,1579,796,645,537,854,54,80
HANUMANNAGAR (PRA.DHA.),870,933,379,387,262,298,229,248
HARAKATTI,636,691,417,345,189,314,30,32
INARWA,2335,2456,1435,1217,850,1206,50,33
ITARHAWA,881,986,585,473,283,501,13,12
ITARI PARSAHI,898,912,581,370,316,542,1,0
ITATAR,902,1062,516,472,260,415,126,175
JAMADAHA,1160,1217,721,626,354,480,85,111
JANAKINAGAR,872,883,652,539,201,327,19,17
JIGHAUL,1080,1142,700,575,340,546,40,21
KABILASI,674,782,416,382,258,397,0,3
KACHANARI,1454,1473,881,709,540,713,33,51
KALYANPUR JABADI,2017,2166,1330,1032,656,1087,31,47
KALYANPURKALABANZAR,716,801,394,334,219,298,103,169
KARJANHA,1505,1761,958,846,408,658,139,257
KHARUKYANHI,1079,1198,619,582,448,602,12,14
KHIRAUNA,706,750,381,342,212,259,113,149
KRISHNAPUR BIRTA,923,954,681,534,239,411,3,9
KUSHAHALAXININIYA,760,816,495,444,265,372,0,0
LAGADI GADIYANI,1331,1239,556,398,673,638,102,203
LAGADIGOTH,825,794,513,390,295,398,17,6
LAHAN MUNICIPALITY,6857,6646,4873,4139,1882,2383,102,124
LALPUR,835,821,602,476,201,285,32,60
LAXMINIYA,1048,1102,699,573,335,520,14,9
LAXMIPUR (PRA.MA.),827,945,538,441,281,500,8,4
LAXMIPUR PATARI,1001,1102,638,518,357,579,6,5
MADAR,1900,1958,1148,808,741,1124,11,26
MAHADEWA PORTAHA,796,845,565,485,217,342,14,18
MAHANAUR,1430,1626,570,462,847,1153,13,11
MAHESHPUR GAMHARIA,924,958,609,500,277,407,38,51
MAHESHPUR PATARI,998,984,633,445,343,520,22,19
MAJHAULIYA,1067,1098,684,532,347,528,36,38
MAJHAURA,1259,1241,795,592,460,643,4,6
MALHANIYA GAMHARIA,520,577,251,228,268,348,1,1
MALHANIYAKHORI,807,910,569,495,214,400,24,15
MAUWAHI,700,781,344,317,348,456,8,8
BHEDIA,818,922,354,295,266,399,198,228
MOHANPUR KAMALPUR,1109,1119,745,610,313,438,51,71
MUKSAR,745,808,464,386,268,410,13,12
NAHARA RIGOUL,1150,1323,741,692,357,537,52,94
NARAHA BALKAWA,933,941,573,496,285,377,75,68
NAVARAJPUR,1887,2045,1104,931,769,1095,14,19
PADARIYA THARUTOL,1109,1330,815,898,272,405,22,27
PIPRA PRA.DHA,866,885,510,413,270,365,86,107
PIPRA PRA.PI,1254,1453,873,754,253,444,128,255
POKHARBHINDA,846,837,557,489,285,348,4,0
RAGHOPUR,837,950,440,370,384,553,13,27
RAJPUR,1016,1044,681,510,330,530,5,4
RAMNAGAR MIRCHAIYA,2794,2678,2011,1673,703,966,80,39
RAMPUR BIRTA,1086,1140,623,578,456,550,7,12
SAKHUWANANKARKATTI,654,729,403,367,249,355,2,7
SANHAITHA,1055,1227,596,544,455,681,4,2
SARSWAR,1288,1506,806,692,444,781,38,33
SIKRON,710,752,344,278,354,467,12,7
SILORBA PACHHAWARI,1087,1157,603,485,480,665,4,7
SIRAHA MUNICIPALITY,5876,6321,3927,3337,1452,2273,497,711
SISAWANI,1173,1257,774,749,378,492,21,16
SITAPUR PRA.DA.,1226,1341,936,876,284,461,6,4
SITAPUR PRA.RA.,956,996,611,518,325,457,20,21
SONMATI MAJHAURA,967,1055,602,468,334,555,31,32
SOTHIYAN,689,812,514,465,171,336,4,11
SUKHACHINA,634,663,364,288,128,183,142,192
SUKHIPUR,2049,2261,1172,1105,808,1108,69,48
TENUWAPATTI,876,945,537,490,336,444,3,11
THALAHA KATAHA,862,1018,415,409,386,534,61,75
TULSIPUR,806,835,557,504,240,318,9,13
VIDHYANAGAR,1065,1091,685,607,368,475,12,9
INSTITUTIONAL,894,93,619,86,213,5,62,2
