VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BAKU,255,698,652,25,0,1,0,12,255,0,0,0,0,0,10
BASA,141,522,492,26,1,3,0,9,226,0,1,0,0,0,13
BENI,13,363,338,61,19,7,5,24,271,0,0,0,0,0,19
BHAKANJE,48,237,216,53,3,0,0,25,156,0,0,0,0,0,0
BUNG,256,723,693,10,3,0,0,11,352,0,1,0,0,0,3
CHAULAKHARKA,62,367,353,51,0,0,0,15,216,0,1,0,0,0,1
CHAURIKHARKA,92,865,625,99,330,56,33,99,754,0,1,1,2,75,11
CHHESKAM,290,518,444,14,0,1,0,6,262,0,0,0,0,1,1
DEUSA,263,610,534,15,1,2,0,12,340,0,0,0,0,0,2
GARMA,37,435,416,73,0,5,1,17,335,1,1,0,0,1,0
GOLI,36,407,402,15,2,0,0,7,164,0,0,0,0,0,10
GORAKHANI,70,256,250,29,9,1,0,24,80,1,0,0,0,0,2
GUDEL,134,725,705,11,6,1,0,15,300,0,0,0,0,0,10
JUBING,156,584,460,98,33,8,3,34,340,0,0,1,0,0,29
JUBU,344,462,447,41,0,2,0,15,155,0,0,0,0,0,20
KAKU,205,617,551,28,1,2,1,21,431,0,0,0,0,0,7
KANGEL,73,362,340,24,4,0,0,5,208,0,0,0,0,0,4
KHUMJUNG,123,427,349,174,145,23,11,104,242,0,1,2,0,72,1
KERUNG,116,742,681,65,5,4,3,106,372,1,3,0,3,0,15
TAMAKHANI,13,225,216,2,0,0,0,26,123,0,0,0,0,0,2
LOKHIM,197,548,510,26,1,2,0,15,237,0,0,0,0,0,3
PAWAI,138,405,387,1,0,1,0,21,144,0,0,0,0,0,7
MUKALI,158,377,329,18,0,3,3,8,241,0,0,0,0,0,0
NAMCHE,93,387,195,110,192,39,36,134,244,0,0,2,0,62,0
NECHA BATASE,136,623,583,14,1,4,0,18,406,0,0,1,0,0,8
NECHA BEDGHARI,141,675,655,28,3,2,2,36,389,0,0,0,0,0,22
NELE,51,406,376,53,0,4,1,8,282,0,0,0,0,0,27
PANCHAN,81,250,236,1,0,1,0,6,129,1,0,0,0,0,2
SALLERI,139,1533,1161,339,432,151,61,216,1217,3,19,17,0,62,10
SALYAN,281,794,724,88,6,3,1,11,454,0,0,1,0,1,62
SOTANG,263,1024,987,46,1,2,1,26,400,1,0,0,1,0,1
TAKASINDU,118,392,364,45,0,4,1,36,211,0,0,0,0,0,0
TAPTING,74,400,365,58,4,8,0,80,185,0,2,0,0,0,6
TINGLA,179,712,639,100,2,2,2,40,424,0,4,1,1,0,3
