VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BAKU,687,154,27,0,81,0,12,2
BASA,71,156,11,3,428,0,3,4
BENI,7,91,1,0,294,0,0,2
BHAKANJE,11,55,31,0,168,0,20,0
BUNG,543,117,1,0,21,1,298,1
CHAULAKHARKA,3,109,158,2,137,0,17,4
CHAURIKHARKA,4,647,6,0,266,0,41,4
CHHESKAM,523,66,1,1,15,0,202,1
DEUSA,600,135,134,0,1,0,3,2
GARMA,39,339,32,0,60,0,2,0
GOLI,6,20,196,0,228,0,2,1
GORAKHANI,4,5,35,1,282,0,0,1
GUDEL,12,156,0,6,662,1,32,0
JUBING,108,97,419,1,91,1,51,1
JUBU,692,56,66,1,2,0,8,1
KAKU,306,204,55,1,223,0,36,4
KANGEL,348,78,11,0,0,0,0,2
KHUMJUNG,29,432,74,2,9,0,2,3
KERUNG,9,193,290,4,371,0,4,2
TAMAKHANI,5,24,1,0,208,0,1,1
LOKHIM,544,115,27,0,38,0,24,0
PAWAI,430,80,1,0,1,0,34,4
MUKALI,370,89,72,0,0,0,2,2
NAMCHE,3,327,104,2,35,0,8,1
NECHA BATASE,478,73,183,0,1,1,29,2
NECHA BEDGHARI,628,101,106,0,0,0,1,2
NELE,194,252,2,0,33,0,1,2
PANCHAN,294,4,34,0,0,0,1,0
SALLERI,16,1022,36,2,589,0,1,16
SALYAN,489,22,480,0,133,1,6,6
SOTANG,989,197,1,2,95,0,1,3
TAKASINDU,1,88,21,0,391,0,9,0
TAPTING,1,11,49,0,418,0,0,1
TINGLA,189,151,9,0,539,0,5,1
TOTAL,8633,5666,2674,28,5820,5,856,76
