VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
EKAMBA,1633,1829,1199,1235,428,588,6,6
AMADUWA,2076,1970,1214,1107,840,839,22,24
AMAHIBELAHA,1436,1531,1001,943,416,569,19,19
AURABANI,1401,1515,967,908,423,600,11,7
BABIYA,1867,1957,1238,1162,618,784,11,11
BAKALAURI,2613,2836,1928,1938,670,883,15,15
BARAHACHHETRA,2236,2453,1805,1780,414,634,17,39
BASANTAPUR,1335,1285,837,768,478,489,20,28
BHADGAUN SINAWARI,2976,3336,2186,2201,770,1103,20,32
BHALUWA,754,766,525,495,221,259,8,12
BHARAUL,3702,4079,2856,2844,822,1209,24,26
BHOKRAHA,4432,4808,2750,2455,1629,2294,53,59
BISHNUPADUKA,959,1036,678,705,278,321,3,10
CHANDWELA,1391,1504,915,873,474,622,2,9
CHHITAHA,1984,2077,1352,1369,624,699,8,9
CHIMADI,1209,1347,850,846,356,491,3,10
DEWANGANJ,1689,1549,1025,887,647,652,17,10
DHARAN MUNICIPALITY,18019,18760,13806,13564,3923,4800,290,396
GHUSKEE,2641,2834,1569,1436,1062,1386,10,12
DUHABI,4220,4425,2856,2524,1308,1843,56,58
DUMRAHA,3198,3531,2125,2125,1039,1379,34,27
GAUTAMPUR,882,914,593,561,284,349,5,4
HANSAPOSA,4441,4797,3403,3220,981,1477,57,100
HARINAGARA,1774,1810,1203,1089,557,717,14,4
HARIPUR,2843,2892,1694,1367,1125,1506,24,19
INARUWA MUNICIPALITY,5078,5071,3962,3599,997,1330,119,142
ITAHARI MUNICIPALITY,12242,12643,9579,9146,2500,3305,163,192
JALPAPUR,1661,1723,854,751,778,948,29,24
KAPTANGANJ,2005,2013,1215,1155,783,845,7,13
KHANAR,4086,4186,2521,2377,1525,1747,40,62
LAUKAHI,1137,1134,672,574,446,547,19,13
MADHELEE,1448,1460,929,902,461,502,58,56
MADHESA,939,1061,728,754,210,306,1,1
MADHUWAN,1660,1746,1051,916,601,825,8,5
MADHYAHARSHAHI,1178,1193,850,765,318,421,10,7
MAHENDRANAGAR,4282,4755,3391,3319,857,1397,34,39
NARSINGHATAPPU,4954,5084,2712,2403,2129,2530,113,151
PAKALI,2170,2396,1532,1495,597,847,41,54
PANCHAKANYA,3387,3556,2512,2531,796,934,79,91
PASHCHIM KUSHAHA,2584,2766,1693,1470,809,1222,82,74
PRAKASHPUR,2572,3032,2042,2054,505,920,25,58
PURBAKUSHAHA,1608,1697,981,923,623,768,4,6
RAMGANJ BELGACHHI,1677,1708,1090,964,559,716,28,28
RAJGANJ SINUWARI,1998,1948,1344,1205,574,662,80,81
RAMNAGAR BHUTAHA,2976,3114,1833,1686,1109,1396,34,32
SAHEBGANJ,887,888,524,480,355,403,8,5
SATTERJHORA,1990,2272,1219,1214,729,984,42,74
SIMARIYA,1068,1123,641,648,414,467,13,8
SINGIYA,1944,2203,1445,1488,441,626,58,89
SONAPUR,2504,2568,1520,1340,883,1115,101,113
SRIPURJABDI,3770,3709,2299,1846,1450,1844,21,19
TANAMUNA,1152,1086,752,711,387,364,13,11
