VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AGRAGAUN,506,0,0,3,0,0
AWALCHING,69,1,1,308,0,7
BABIYACHAUR,341,27,16,1234,1,13
BAJEDICHAUR,853,1,0,8,0,3
BETAN,97,0,1,405,2,8
BIDYAPUR,236,14,3,1032,4,21
BIJAURA,375,6,0,646,6,3
BIRENDRANAGAR MUNICIPALITY,6730,2247,2045,779,42,186
CHAPRE,549,0,0,56,0,12
CHHINCHU,2128,252,159,386,3,28
DAHACHAUR,585,7,1,83,1,5
DANDAKHALI,500,0,1,38,0,2
DASARATHPUR,438,56,13,696,0,18
DHARAPANI,544,1,1,1,0,5
GADI BAYALKADA,665,3,7,8,0,2
GARPAN,406,0,0,7,0,2
GHAT GAUN,45,2,1,891,0,13
GHORETA,451,2,0,68,0,9
GHUMKHAHARE,929,16,2,58,1,4
GUMI,1407,87,15,60,3,13
GUTHU,466,9,3,925,0,19
HARIHARPUR,480,2,0,464,1,7
JARBUTA,1532,160,65,76,1,3
KAFALKOT,257,0,0,319,0,8
KALYAN,558,27,18,663,2,3
KAPRICHAUR,389,11,1,186,1,10
KHANIKHOLLA,654,1,1,9,0,2
KUNATHARI,987,41,15,594,1,2
LAGAAM,154,0,10,495,19,7
LATIKOILI,2439,1101,286,405,60,39
LEKHFARSA,987,34,3,261,8,8
LEKHGAUN,949,0,0,29,0,11
LEKHPARAJUL,616,4,3,1008,3,15
MAINTADA,2337,104,7,163,3,8
MALARANI,1025,3,0,50,5,9
MATELA,857,8,0,149,3,4
MEHELKUNA,1979,147,42,122,8,10
NETA,620,5,1,14,1,6
PAMKA,270,0,0,118,0,1
POKHARIKANDA,515,1,0,337,0,7
RAJENA,301,0,0,249,0,6
RAKAM,752,17,17,10,0,4
RAMGHAT,503,68,33,978,8,8
RANIBAS,87,0,0,481,1,2
RATU,329,1,0,1,0,2
SAHARE,2107,70,23,127,2,14
SALKOT,583,0,3,1019,9,22
SATAKHANI,1711,6,7,162,0,20
TARANGA,604,0,2,398,0,1
TATOPANI,86,1,9,987,21,5
UTTARGANGA,2435,1042,317,237,9,41
TOTAL,45423,5585,3132,17803,229,658
