VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AGRAGAUN,2350,1047,1303,1332,708,624,287,131,156,731,208,523,0,0,0,56.680851063829785,67.621776504298,47.8894858019954
AWALCHING,2043,955,1088,1277,699,578,11,7,4,753,248,505,2,1,1,62.50611845325502,73.19371727748691,53.125
BABIYACHAUR,7222,3380,3842,5226,2770,2456,99,34,65,1895,576,1319,2,0,2,72.36222653004708,81.95266272189349,63.925039042165544
BAJEDICHAUR,3627,1563,2064,2437,1232,1205,63,25,38,1127,306,821,0,0,0,67.19051557761236,78.82277671145233,58.38178294573644
BETAN,2640,1305,1335,1569,938,631,268,126,142,803,241,562,0,0,0,59.43181818181819,71.87739463601532,47.265917602996254
BIDYAPUR,5702,2711,2991,4589,2401,2188,107,30,77,1000,279,721,6,1,5,80.48053314626446,88.56510512725932,73.15279170845871
BIJAURA,4760,2304,2456,3332,1889,1443,100,39,61,1325,375,950,3,1,2,70,81.98784722222221,58.75407166123778
BIRENDRANAGAR MUNICIPALITY,43606,21107,22499,35987,19006,16981,942,417,525,6671,1681,4990,6,3,3,82.52763381186075,90.04595631780926,75.47446553180141
CHAPRE,3006,1500,1506,1805,1045,760,98,49,49,1096,405,691,7,1,6,60.04657351962741,69.66666666666667,50.46480743691899
CHHINCHU,12562,5853,6709,9585,4865,4720,436,184,252,2540,804,1736,1,0,1,76.30154434007324,83.11976764052622,70.3532568191981
DAHACHAUR,2638,1148,1490,1788,884,904,97,12,85,753,252,501,0,0,0,67.77862016679302,77.00348432055749,60.671140939597315
DANDAKHALI,2234,971,1263,1560,777,783,30,17,13,644,177,467,0,0,0,69.82990152193375,80.0205973223481,61.995249406175766
DASARATHPUR,4653,2064,2589,3765,1780,1985,91,42,49,797,242,555,0,0,0,80.91553836234688,86.24031007751938,76.67052916183856
DHARAPANI,2693,1256,1437,1659,890,769,35,18,17,997,348,649,2,0,2,61.604158930560715,70.85987261146497,53.5142658315936
GADI BAYALKADA,2785,1332,1453,1895,1038,857,156,63,93,733,231,502,1,0,1,68.04308797127469,77.92792792792793,58.98141775636614
GARPAN,1777,817,960,1295,686,609,61,24,37,421,107,314,0,0,0,72.87563308947665,83.96572827417381,63.4375
GHAT GAUN,4246,1914,2332,2651,1405,1246,110,43,67,1483,465,1018,2,1,1,62.43523316062176,73.40647857889238,53.43053173241853
GHORETA,2737,1261,1476,1714,895,819,48,28,20,974,337,637,1,1,0,62.62331019364268,70.97541633624108,55.487804878048784
GHUMKHAHARE,3998,1725,2273,2772,1322,1450,90,44,46,1135,359,776,1,0,1,69.33466733366683,76.6376811594203,63.792344918609764
GUMI,6230,2728,3502,4713,2292,2421,278,123,155,1234,313,921,5,0,5,75.65008025682182,84.01759530791789,69.131924614506
GUTHU,6701,3209,3492,4705,2583,2122,204,101,103,1775,522,1253,17,3,14,70.21340098492762,80.49236522281085,60.76746849942726
HARIHARPUR,3991,1888,2103,2623,1412,1211,206,96,110,1159,379,780,3,1,2,65.72287647206214,74.78813559322035,57.58440323347599
JARBUTA,7705,3664,4041,6097,3211,2886,184,66,118,1419,386,1033,5,1,4,79.13043478260869,87.63646288209607,71.41796585003712
KAFALKOT,3119,1449,1670,2096,1138,958,104,38,66,918,273,645,1,0,1,67.20102596986214,78.53692201518288,57.36526946107784
KALYAN,5551,2524,3027,4208,2140,2068,58,29,29,1284,355,929,1,0,1,75.80616105206269,84.78605388272584,68.3184671291708
KAPRICHAUR,2523,1158,1365,1554,868,686,79,38,41,889,252,637,1,0,1,61.59334126040428,74.95682210708118,50.256410256410255
KHANIKHOLLA,2863,1326,1537,2169,1115,1054,94,37,57,600,174,426,0,0,0,75.75969263010828,84.08748114630468,68.57514638906962
KUNATHARI,6690,3171,3519,4648,2534,2114,392,135,257,1647,501,1146,3,1,2,69.47683109118087,79.91169977924945,60.07388462631429
LAGAAM,3432,1723,1709,2218,1305,913,72,37,35,1136,378,758,6,3,3,64.62703962703962,75.73998839233894,53.42305441778819
LATIKOILI,18169,8676,9493,14259,7508,6751,226,86,140,3678,1079,2599,6,3,3,78.47982827893665,86.53757491931766,71.11555883282419
LEKHFARSA,5165,2331,2834,4040,2009,2031,86,34,52,1039,288,751,0,0,0,78.2187802516941,86.18618618618619,71.66549047282992
