VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
AGRAGAUN,334,134,41,0
AWALCHING,119,3,257,7
BABIYACHAUR,18,740,867,7
BAJEDICHAUR,573,142,146,4
BETAN,497,4,6,6
BIDYAPUR,113,935,246,16
BIJAURA,770,125,138,3
BIRENDRANAGAR MUNICIPALITY,1339,9007,1604,79
CHAPRE,398,8,200,11
CHHINCHU,192,1187,1563,14
DAHACHAUR,38,575,67,2
DANDAKHALI,356,51,133,1
DASARATHPUR,27,747,432,15
DHARAPANI,382,49,117,4
GADI BAYALKADA,182,334,168,1
GARPAN,109,226,79,1
GHAT GAUN,336,397,208,11
GHORETA,276,210,37,7
GHUMKHAHARE,450,141,414,5
GUMI,61,781,733,10
GUTHU,340,493,570,19
HARIHARPUR,367,320,263,4
JARBUTA,108,1414,309,6
KAFALKOT,286,148,145,5
KALYAN,702,256,307,6
KAPRICHAUR,492,31,66,9
KHANIKHOLLA,381,22,262,2
KUNATHARI,689,521,430,0
LAGAAM,643,19,16,7
LATIKOILI,773,2212,1315,30
LEKHFARSA,22,425,848,6
LEKHGAUN,415,402,162,10
LEKHPARAJUL,1129,51,456,13
MAINTADA,1184,1113,318,7
MALARANI,563,359,161,9
MATELA,502,91,427,1
MEHELKUNA,555,447,1297,9
NETA,287,108,247,5
PAMKA,164,0,225,0
POKHARIKANDA,338,341,174,7
RAJENA,159,9,382,6
RAKAM,552,152,92,4
RAMGHAT,401,487,707,3
RANIBAS,266,142,160,3
RATU,12,198,122,1
SAHARE,989,756,586,12
SALKOT,98,993,529,16
SATAKHANI,251,1164,473,18
TARANGA,559,190,254,2
TATOPANI,808,106,190,5
UTTARGANGA,257,2588,1210,26
TOTAL,20862,31354,20159,455
