VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ALAMADEVI,892,1,11,2,1,0,0,1
ARJUN CHAUPARI,1329,4,136,2,27,3,0,5
ARUCHAUR,755,1,4,0,0,0,0,0
ARUKHARKA,821,1,31,0,24,0,0,1
BAGEFADKE,273,0,6,0,2,0,0,0
BAHAKOT,445,0,3,0,0,0,0,0
BENETHOK DEURALI,821,2,16,0,22,2,0,1
BHATKHOLA,437,0,10,1,1,0,0,1
BICHARI CHAUTARA,546,0,12,0,5,0,0,0
BIRGHA,1148,4,16,2,7,0,0,3
BIRUWA ARCHALE,598,5,61,0,8,1,0,1
CHANDI BHANJYANG,881,0,4,0,6,0,0,0
CHAPAKOT,893,3,91,2,95,0,0,3
CHHANGCHHANGDI,537,2,42,0,60,8,0,3
CHILAUNEBAS,652,1,5,0,4,0,0,0
CHINNEBAS,1015,6,20,0,13,1,0,4
MAGYAM CHISAPANI,941,0,9,0,1,0,0,2
CHITRE BHANJYANG,774,1,36,0,1,1,0,0
DARSING DAHATHUM,791,23,782,2,55,7,1,10
DHAPUK SIMAL BHANJYANG,819,1,10,0,5,0,0,0
FAPARTHUM,582,0,14,0,7,0,0,0
FEDIKHOLA,1308,4,323,0,7,0,1,2
JAGAT BHANJYANG,747,0,29,0,12,1,0,2
JAGATRADEVI,1126,13,858,2,29,16,0,6
KALIKAKOT,892,5,12,0,4,0,0,0
KOLMA BARAHACHAUR,421,1,12,0,9,0,0,0
KEWARE BHANJYANG,646,3,33,0,0,0,0,2
KHILUNG DEURALI,881,2,50,0,87,27,0,3
KICHANASH,1081,3,18,0,45,1,0,5
KUWAKOT,836,4,26,2,37,2,0,0
KYAKMI,1097,2,31,1,49,0,0,14
MAJHAKOT SIVALAYA,339,11,3,0,1,0,0,3
MALUNGA,645,2,25,1,5,0,0,0
MALYANGKOT,1039,1,29,0,26,1,0,6
MANAKAMANA,937,16,30,0,8,0,0,6
NIBUWAKHARKA,785,0,1,0,4,0,0,0
ORASTE,806,0,12,0,22,1,0,4
PAKWADI,1250,0,18,0,13,1,0,2
PANCHAMUL,1070,1,5,0,2,0,1,0
PAUWEGAUDE,737,0,61,0,7,0,0,0
PELAKOT,1172,1,17,1,29,0,0,0
PELKACHAUR,433,1,3,0,1,0,0,1
PIDIKHOLA,1088,3,23,0,1,1,0,3
PUTALIBAZAR MUNICIPALITY,4875,53,2988,3,220,0,24,17
RANGVANG,679,0,3,0,3,1,0,1
RAPAKOT,887,1,8,0,2,0,0,6
RATNAPUR,622,1,70,0,215,0,0,0
SAKHAR,947,11,38,1,48,3,0,7
DARAU,543,0,2,0,37,0,0,0
SEKHAM,915,1,5,0,2,1,0,0
SETIDOBHAN,664,1,86,0,25,0,0,4
SHREEKRISHNA GANDAKI,1680,3,178,0,48,82,0,2
SIRSEKOT,784,0,5,0,0,0,0,3
SWOREK,1156,0,25,0,16,0,0,0
TAKSAR,527,0,2,0,0,0,0,0
THULADIHI,824,2,38,0,9,0,0,1
THUMPOKHARA,1074,2,97,1,30,4,0,12
TINDOBATE,818,1,143,0,30,0,0,2
TULSIBHANJYANG,879,0,26,0,53,1,1,1
WALING MUNICIPALITY,2358,55,3093,6,343,63,8,26
BANGSING DEURALI,616,0,6,0,1,0,0,1
YALADI,393,2,7,0,15,0,0,0
TOTAL,56527,261,9758,29,1839,229,36,177
