VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
ALAMADEVI,763,2,119,23,0,0,0,1
ARJUN CHAUPARI,1359,2,22,52,64,2,0,5
ARUCHAUR,678,1,0,1,70,9,1,0
ARUKHARKA,852,1,3,19,0,2,1,0
BAGEFADKE,272,0,0,3,0,6,0,0
BAHAKOT,414,0,0,26,8,0,0,0
BENETHOK DEURALI,789,0,0,47,23,2,2,1
BHATKHOLA,428,0,2,17,2,0,0,1
BICHARI CHAUTARA,460,0,0,77,22,4,0,0
BIRGHA,663,4,155,174,181,0,0,3
BIRUWA ARCHALE,528,1,31,11,25,77,0,1
CHANDI BHANJYANG,572,0,149,74,96,0,0,0
CHAPAKOT,951,0,3,80,48,2,0,3
CHHANGCHHANGDI,510,0,69,24,46,0,0,3
CHILAUNEBAS,645,2,15,0,0,0,0,0
CHINNEBAS,914,0,5,102,33,1,0,4
MAGYAM CHISAPANI,866,5,1,67,7,5,0,2
CHITRE BHANJYANG,366,3,45,254,142,3,0,0
DARSING DAHATHUM,1596,2,15,33,11,3,1,10
DHAPUK SIMAL BHANJYANG,781,0,38,6,7,3,0,0
FAPARTHUM,565,1,8,26,2,0,1,0
FEDIKHOLA,1367,0,72,191,8,4,1,2
JAGAT BHANJYANG,632,0,111,33,13,0,0,2
JAGATRADEVI,1802,2,174,6,48,12,0,6
KALIKAKOT,747,1,0,4,160,0,1,0
KOLMA BARAHACHAUR,245,0,17,26,155,0,0,0
KEWARE BHANJYANG,312,0,0,2,368,0,0,2
KHILUNG DEURALI,775,0,0,55,214,2,1,3
KICHANASH,907,0,87,15,138,1,0,5
KUWAKOT,542,2,68,187,87,20,1,0
KYAKMI,992,1,49,58,77,4,0,13
MAJHAKOT SIVALAYA,349,0,0,3,2,0,0,3
MALUNGA,498,0,0,178,1,1,0,0
MALYANGKOT,1019,2,0,8,57,2,8,6
MANAKAMANA,688,0,0,55,247,1,0,6
NIBUWAKHARKA,717,1,15,45,12,0,0,0
ORASTE,805,0,1,21,13,1,0,4
PAKWADI,1011,0,12,223,35,1,0,2
PANCHAMUL,899,0,0,0,180,0,0,0
PAUWEGAUDE,746,0,3,44,9,3,0,0
PELAKOT,1156,0,2,29,4,1,28,0
PELKACHAUR,396,0,0,0,42,0,0,1
PIDIKHOLA,910,1,1,22,143,39,0,3
PUTALIBAZAR MUNICIPALITY,7835,10,63,123,98,22,14,15
RANGVANG,490,1,49,53,86,7,0,1
RAPAKOT,856,2,2,15,15,5,3,6
RATNAPUR,703,0,25,43,136,0,1,0
SAKHAR,631,24,61,172,157,5,0,5
DARAU,506,0,0,51,24,0,1,0
SEKHAM,669,1,12,40,195,7,0,0
SETIDOBHAN,710,0,5,0,61,1,0,3
SHREEKRISHNA GANDAKI,1311,1,185,341,94,58,0,3
SIRSEKOT,753,0,6,9,21,0,0,3
SWOREK,1087,3,0,63,44,0,0,0
TAKSAR,528,0,1,0,0,0,0,0
THULADIHI,786,0,0,64,13,10,0,1
THUMPOKHARA,988,0,11,42,157,10,0,12
TINDOBATE,744,1,4,70,167,6,0,2
TULSIBHANJYANG,685,0,30,183,62,0,0,1
WALING MUNICIPALITY,4175,6,935,291,461,58,1,25
BANGSING DEURALI,588,0,10,20,0,5,0,1
YALADI,395,1,4,16,1,0,0,0
TOTAL,56927,84,2695,3917,4592,405,66,170
