VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ALAMADEVI,715,139,6,46,1,1
ARJUN CHAUPARI,1369,60,66,1,1,9
ARUCHAUR,754,6,0,0,0,0
ARUKHARKA,845,32,0,0,0,1
BAGEFADKE,276,0,5,0,0,0
BAHAKOT,438,2,1,6,1,0
BENETHOK DEURALI,853,7,1,1,1,1
BHATKHOLA,425,1,21,2,0,1
BICHARI CHAUTARA,552,8,0,3,0,0
BIRGHA,1034,26,15,103,0,2
BIRUWA ARCHALE,618,43,2,9,0,2
CHANDI BHANJYANG,877,6,5,2,0,1
CHAPAKOT,877,102,75,27,1,5
CHHANGCHHANGDI,599,13,34,1,0,5
CHILAUNEBAS,647,3,3,8,0,1
CHINNEBAS,1026,21,4,4,0,4
MAGYAM CHISAPANI,921,16,3,7,2,4
CHITRE BHANJYANG,795,5,8,3,0,2
DARSING DAHATHUM,835,383,424,16,0,13
DHAPUK SIMAL BHANJYANG,824,6,4,0,0,1
FAPARTHUM,592,7,2,2,0,0
FEDIKHOLA,1216,159,255,5,3,7
JAGAT BHANJYANG,739,9,29,6,0,8
JAGATRADEVI,1157,516,334,32,1,10
KALIKAKOT,906,3,0,2,2,0
KOLMA BARAHACHAUR,437,3,0,3,0,0
KEWARE BHANJYANG,631,46,2,2,0,3
KHILUNG DEURALI,994,39,8,5,1,3
KICHANASH,1105,19,19,5,0,5
KUWAKOT,838,8,37,22,0,2
KYAKMI,1169,3,7,3,0,12
MAJHAKOT SIVALAYA,352,0,1,0,1,3
MALUNGA,568,12,53,23,22,0
MALYANGKOT,1081,1,11,2,1,6
MANAKAMANA,968,8,8,6,0,7
NIBUWAKHARKA,759,6,1,17,5,2
ORASTE,830,3,1,5,1,5
PAKWADI,1218,16,4,45,0,1
PANCHAMUL,1060,7,5,6,1,0
PAUWEGAUDE,748,11,44,1,0,1
PELAKOT,1137,21,7,54,0,1
PELKACHAUR,430,2,5,1,0,1
PIDIKHOLA,1086,17,4,9,0,3
PUTALIBAZAR MUNICIPALITY,5160,1432,1503,53,8,24
RANGVANG,676,6,1,4,0,0
RAPAKOT,888,0,3,5,1,7
RATNAPUR,810,22,54,21,1,0
SAKHAR,929,22,2,96,0,6
DARAU,578,2,0,2,0,0
SEKHAM,896,14,0,14,0,0
SETIDOBHAN,627,28,82,39,0,4
SHREEKRISHNA GANDAKI,1507,290,101,90,2,3
SIRSEKOT,772,8,1,4,0,7
SWOREK,1162,27,0,4,0,4
TAKSAR,528,0,0,0,1,0
THULADIHI,846,17,6,0,3,2
THUMPOKHARA,1037,60,105,3,0,15
TINDOBATE,798,34,143,10,3,6
TULSIBHANJYANG,854,25,40,35,6,1
WALING MUNICIPALITY,2701,1686,1431,69,2,63
BANGSING DEURALI,605,12,0,7,0,0
YALADI,412,4,0,1,0,0
TOTAL,57087,5484,4986,952,72,275
