VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,68881,289148,125833,163315,4.19779039212555,77.04926063129534
ALAMADEVI,908,3844,1632,2212,4.233480176211454,73.77938517179024
ARJUN CHAUPARI,1506,6307,2753,3554,4.1879150066401065,77.46201463140123
ARUCHAUR,760,2956,1248,1708,3.889473684210526,73.06791569086651
ARUKHARKA,878,3397,1462,1935,3.869020501138952,75.55555555555556
BAGEFADKE,281,1102,461,641,3.921708185053381,71.9188767550702
BAHAKOT,448,1731,764,967,3.8638392857142856,79.00723888314374
BENETHOK DEURALI,864,3546,1513,2033,4.104166666666667,74.42203639940973
BHATKHOLA,450,1659,700,959,3.6866666666666665,72.99270072992701
BICHARI CHAUTARA,563,2185,930,1255,3.8809946714031973,74.10358565737052
BIRGHA,1180,5117,2185,2932,4.3364406779661016,74.5225102319236
BIRUWA ARCHALE,674,2860,1270,1590,4.243323442136498,79.87421383647799
CHANDI BHANJYANG,891,3942,1671,2271,4.424242424242424,73.57992073976222
CHAPAKOT,1087,4702,1993,2709,4.325666973321067,73.56958287190845
CHHANGCHHANGDI,652,2844,1287,1557,4.361963190184049,82.65895953757226
CHILAUNEBAS,662,2722,1169,1553,4.111782477341389,75.27366387636832
CHINNEBAS,1059,4753,2070,2683,4.4881964117091595,77.15244129705553
MAGYAM CHISAPANI,953,4281,1833,2448,4.492130115424974,74.87745098039215
CHITRE BHANJYANG,813,3551,1520,2031,4.3677736777367775,74.83998030526834
DARSING DAHATHUM,1671,6598,2846,3752,3.9485338120885696,75.85287846481876
DHAPUK SIMAL BHANJYANG,835,3666,1568,2098,4.390419161676647,74.73784556720686
FAPARTHUM,603,2412,1025,1387,4,73.90050468637347
FEDIKHOLA,1645,6183,2636,3547,3.758662613981763,74.31632365379194
JAGAT BHANJYANG,791,3310,1445,1865,4.184576485461442,77.4798927613941
JAGATRADEVI,2050,8700,4007,4693,4.2439024390243905,85.38248455145963
KALIKAKOT,913,4233,1849,2384,4.636363636363637,77.55872483221476
KOLMA BARAHACHAUR,443,1723,738,985,3.889390519187359,74.9238578680203
KEWARE BHANJYANG,684,2902,1230,1672,4.242690058479532,73.56459330143541
KHILUNG DEURALI,1050,4324,1878,2446,4.118095238095238,76.778413736713
KICHANASH,1153,4833,2118,2715,4.191673894189072,78.01104972375691
KUWAKOT,907,4120,1722,2398,4.5424476295479606,71.80984153461218
KYAKMI,1194,5396,2336,3060,4.519262981574539,76.33986928104575
MAJHAKOT SIVALAYA,357,1555,682,873,4.355742296918767,78.12142038946163
MALUNGA,678,3230,1435,1795,4.76401179941003,79.94428969359332
MALYANGKOT,1102,4684,1982,2702,4.250453720508167,73.35307179866766
MANAKAMANA,997,4385,1913,2472,4.398194583751254,77.38673139158576
NIBUWAKHARKA,790,3875,1671,2204,4.905063291139241,75.81669691470054
ORASTE,845,3515,1496,2019,4.159763313609467,74.09608717186727
PAKWADI,1284,5958,2454,3504,4.640186915887851,70.03424657534246
PANCHAMUL,1079,4601,1986,2615,4.264133456904541,75.94646271510517
PAUWEGAUDE,805,2883,1224,1659,3.581366459627329,73.77938517179024
PELAKOT,1220,5748,2466,3282,4.711475409836066,75.13711151736746
PELKACHAUR,439,1856,827,1029,4.2277904328018225,80.36929057337221
PIDIKHOLA,1119,4956,2161,2795,4.428954423592494,77.31663685152057
PUTALIBAZAR MUNICIPALITY,8180,30704,13549,17155,3.7535452322738387,78.97988924511804
RANGVANG,687,2875,1243,1632,4.184861717612809,76.1642156862745
RAPAKOT,904,3827,1646,2181,4.2334070796460175,75.4699679046309
RATNAPUR,908,3920,1681,2239,4.317180616740088,75.0781598928093
SAKHAR,1055,4630,1982,2648,4.388625592417061,74.8489425981873
DARAU,582,2286,958,1328,3.9278350515463916,72.13855421686746
SEKHAM,924,4183,1778,2405,4.5270562770562774,73.92931392931393
SETIDOBHAN,780,3098,1313,1785,3.971794871794872,73.55742296918768
SHREEKRISHNA GANDAKI,1993,8815,3884,4931,4.422980431510286,78.76698438450619
SIRSEKOT,792,3581,1543,2038,4.521464646464646,75.71148184494602
SWOREK,1197,5180,2123,3057,4.3274853801169595,69.4471704285247
TAKSAR,529,2061,870,1191,3.896030245746692,73.04785894206549
THULADIHI,874,3225,1376,1849,3.6899313501144166,74.4186046511628
THUMPOKHARA,1220,5390,2322,3068,4.418032786885246,75.68448500651891
TINDOBATE,994,4596,1931,2665,4.6237424547283705,72.4577861163227
TULSIBHANJYANG,961,4439,1932,2507,4.6191467221644125,77.06422018348624
WALING MUNICIPALITY,5952,24006,10809,13197,4.033266129032258,81.90497840418277
BANGSING DEURALI,624,2374,996,1378,3.8044871794871793,72.27866473149493
YALADI,417,1765,779,986,4.232613908872902,79.00608519269777
