VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ALAMADEVI,593,256,0,21,36,1,1
ARJUN CHAUPARI,1335,156,4,1,0,1,9
ARUCHAUR,719,40,0,1,0,0,0
ARUKHARKA,667,207,3,0,0,0,1
BAGEFADKE,278,3,0,0,0,0,0
BAHAKOT,440,1,0,6,0,1,0
BENETHOK DEURALI,852,9,0,1,0,1,1
BHATKHOLA,434,12,0,2,0,0,2
BICHARI CHAUTARA,541,18,0,3,0,0,1
BIRGHA,1052,52,3,71,0,0,2
BIRUWA ARCHALE,611,51,1,8,0,1,2
CHANDI BHANJYANG,823,47,0,13,0,7,1
CHAPAKOT,819,212,5,16,28,0,7
CHHANGCHHANGDI,576,69,0,1,1,0,5
CHILAUNEBAS,590,62,3,5,0,0,2
CHINNEBAS,976,75,0,4,0,0,4
MAGYAM CHISAPANI,919,18,0,11,0,1,4
CHITRE BHANJYANG,772,34,1,3,0,0,3
DARSING DAHATHUM,818,818,6,16,0,0,13
DHAPUK SIMAL BHANJYANG,821,12,0,0,0,0,2
FAPARTHUM,531,69,1,2,0,0,0
FEDIKHOLA,1165,463,0,6,0,4,7
JAGAT BHANJYANG,710,68,0,4,0,1,8
JAGATRADEVI,1026,979,3,31,0,1,10
KALIKAKOT,902,7,1,3,0,0,0
KOLMA BARAHACHAUR,437,3,2,1,0,0,0
KEWARE BHANJYANG,579,95,2,5,0,0,3
KHILUNG DEURALI,902,132,2,10,0,1,3
KICHANASH,1000,145,0,3,0,0,5
KUWAKOT,787,103,2,10,1,1,3
KYAKMI,1137,42,0,2,0,1,12
MAJHAKOT SIVALAYA,351,2,0,1,0,0,3
MALUNGA,563,66,1,26,0,22,0
MALYANGKOT,1073,19,2,1,0,1,6
MANAKAMANA,958,27,2,1,0,2,7
NIBUWAKHARKA,728,34,4,21,0,0,3
ORASTE,827,6,0,7,0,0,5
PAKWADI,1241,19,10,11,0,2,1
PANCHAMUL,1058,12,3,6,0,0,0
PAUWEGAUDE,744,58,0,2,0,0,1
PELAKOT,1121,78,2,18,0,0,1
PELKACHAUR,433,4,1,0,0,0,1
PIDIKHOLA,1083,25,0,7,0,0,4
PUTALIBAZAR MUNICIPALITY,4903,3162,32,40,9,6,28
RANGVANG,666,15,0,5,0,1,0
RAPAKOT,882,3,3,8,0,0,8
RATNAPUR,799,89,1,15,4,0,0
SAKHAR,938,76,15,20,0,0,6
DARAU,570,3,3,6,0,0,0
SEKHAM,867,51,3,3,0,0,0
SETIDOBHAN,625,112,3,35,0,0,5
SHREEKRISHNA GANDAKI,1467,471,7,34,2,9,3
SIRSEKOT,763,14,0,5,0,0,10
SWOREK,1114,73,1,5,0,0,4
TAKSAR,529,0,0,0,0,0,0
THULADIHI,841,26,0,2,0,3,2
THUMPOKHARA,1008,192,1,4,0,0,15
TINDOBATE,728,242,2,13,0,0,9
TULSIBHANJYANG,846,66,1,39,1,6,2
WALING MUNICIPALITY,2595,3183,32,70,0,5,67
BANGSING DEURALI,604,12,1,6,0,0,1
YALADI,409,4,0,2,0,0,2
TOTAL,55146,12402,169,673,82,79,305
