VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ALAMADEVI,650,763,539,545,106,216,5,2
ARJUN CHAUPARI,1152,1278,963,920,170,340,19,18
ARUCHAUR,478,602,428,465,44,128,6,9
ARUKHARKA,559,623,468,471,81,138,10,14
BAGEFADKE,171,224,137,154,34,70,0,0
BAHAKOT,233,282,191,195,40,85,2,2
BENETHOK DEURALI,639,787,518,545,110,223,11,19
BHATKHOLA,251,293,220,209,27,76,4,8
BICHARI CHAUTARA,356,399,319,305,37,93,0,1
BIRGHA,881,1045,751,778,122,259,8,8
BIRUWA ARCHALE,495,606,397,396,90,199,8,11
CHANDI BHANJYANG,693,876,588,631,96,237,9,8
CHAPAKOT,853,1050,715,771,137,276,1,3
CHHANGCHHANGDI,510,541,426,385,77,140,7,16
CHILAUNEBAS,435,538,375,397,56,138,4,3
CHINNEBAS,878,1038,711,741,147,246,20,51
MAGYAM CHISAPANI,751,936,634,686,112,238,5,12
CHITRE BHANJYANG,599,780,493,518,101,251,5,11
DARSING DAHATHUM,1164,1361,960,978,178,339,26,44
DHAPUK SIMAL BHANJYANG,676,848,562,616,99,217,15,15
FAPARTHUM,369,415,346,324,23,89,0,2
FEDIKHOLA,948,1094,826,814,106,264,16,16
JAGAT BHANJYANG,612,715,510,522,97,184,5,9
JAGATRADEVI,1684,1770,1416,1349,257,394,11,27
KALIKAKOT,810,973,703,714,99,252,8,7
KOLMA BARAHACHAUR,225,289,179,188,37,92,9,9
KEWARE BHANJYANG,533,615,424,394,103,218,6,3
KHILUNG DEURALI,719,847,623,608,85,222,11,17
KICHANASH,785,985,677,709,98,264,10,12
KUWAKOT,698,873,612,609,79,250,7,14
KYAKMI,1034,1236,822,842,185,355,27,39
MAJHAKOT SIVALAYA,249,323,207,233,42,89,0,1
MALUNGA,567,612,460,467,97,137,10,8
MALYANGKOT,726,980,597,659,122,316,7,5
MANAKAMANA,767,987,626,739,131,237,10,11
NIBUWAKHARKA,781,930,684,719,90,201,7,10
ORASTE,522,661,445,482,71,171,6,8
PAKWADI,1058,1418,922,1073,135,343,1,2
PANCHAMUL,822,1022,698,752,118,261,6,9
PAUWEGAUDE,481,517,414,392,62,122,5,3
PELAKOT,1039,1250,914,923,115,315,10,12
PELKACHAUR,351,428,245,273,103,153,3,2
PIDIKHOLA,954,1088,852,827,84,237,18,24
PUTALIBAZAR MUNICIPALITY,5001,5585,4322,4211,640,1313,39,61
RANGVANG,461,581,389,416,71,156,1,9
RAPAKOT,712,870,631,654,75,207,6,9
RATNAPUR,726,893,621,691,95,186,10,16
SAKHAR,849,1021,718,727,127,282,4,12
DARAU,383,467,309,349,67,109,7,9
SEKHAM,750,1021,599,684,148,331,3,6
SETIDOBHAN,508,623,450,489,56,128,2,6
SHREEKRISHNA GANDAKI,1640,1867,1448,1487,184,367,8,13
SIRSEKOT,600,727,513,541,74,177,13,9
SWOREK,838,1118,712,836,117,267,9,15
TAKSAR,313,456,266,322,44,130,3,4
THULADIHI,493,569,414,410,74,156,5,3
THUMPOKHARA,958,1111,864,874,91,233,3,4
TINDOBATE,851,1081,731,762,111,309,9,10
TULSIBHANJYANG,811,951,725,784,83,161,3,6
WALING MUNICIPALITY,4290,4459,3628,3394,595,971,67,94
BANGSING DEURALI,396,481,354,388,40,86,2,7
YALADI,297,348,253,236,42,112,2,0
INSTITUTIONAL,272,44,107,33,163,11,2,0
