VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ANBUKHAIRENI,235,3727,2145,1571,1974,384,123,385,3480,57,311,196,1,680,72
ARUNODAYA,141,920,620,196,49,5,1,4,788,1,25,3,0,5,37
BAIDI,285,557,433,41,1,1,0,3,405,1,1,2,0,0,2
BANDIPUR,359,2664,1599,901,1071,184,69,268,2371,57,168,90,17,358,33
BARBHANJYANG,157,1130,584,424,343,13,1,26,930,2,34,14,0,55,78
BASANTAPUR,65,768,612,382,104,4,0,18,650,0,3,1,0,6,35
BHANU,350,3114,1732,1745,1018,92,47,171,2827,15,109,106,1,268,12
BHANUMATI,164,944,687,385,27,10,5,8,829,1,4,8,0,7,39
BHIMAD,74,2013,941,718,852,169,34,295,1857,48,209,116,2,311,104
BHIRKOT,277,856,663,48,0,0,13,12,651,2,10,1,0,0,13
BYAS MUNICIPALITY,609,10568,6613,5318,5992,1505,530,1413,9762,168,1208,1117,38,2102,144
CHHANG,122,1334,725,598,379,69,14,22,1125,8,61,77,0,37,43
CHHIMKESHWORI,84,270,179,21,3,0,0,0,225,1,2,1,0,6,2
CHHIPCHHIPE,50,323,280,16,1,1,2,2,279,0,1,2,0,0,23
CHOK CHISAPANI,169,847,620,540,123,9,2,53,649,7,6,1,2,11,12
DEURALI,80,409,354,8,0,0,2,0,241,0,0,0,0,0,32
DEVGHAT,441,1353,909,397,251,27,12,5,1081,17,80,360,4,55,103
DHARAMPANI,210,493,325,22,0,1,2,3,399,0,1,0,0,0,21
DHORFIRDI,319,2634,1878,1490,562,70,36,34,2307,7,111,104,7,211,52
DULEGAUNDA,247,3667,1887,2431,2247,379,113,447,3337,80,457,479,16,812,78
FIRFIRE,128,547,382,211,90,4,2,26,406,3,2,2,0,4,101
GAJARKOT,208,1011,714,99,3,1,2,27,860,2,33,9,1,0,80
GHANSIKUWA,184,1674,1112,807,275,22,8,25,1433,7,40,18,8,60,84
JAMUNE BHANJYANG,241,2131,872,823,685,89,13,19,1865,29,93,50,2,136,36
KAHU SHIVAPUR,303,1042,614,147,44,13,5,5,912,4,21,36,0,5,8
KESHAVTAR,261,900,452,171,254,14,4,4,752,2,23,9,1,10,10
KHAIRENITAR,153,2511,1643,1267,1060,233,112,243,2309,43,232,301,7,478,15
KIHUN,160,749,562,59,0,1,0,26,705,4,6,3,0,0,8
KOTA,132,489,420,111,4,5,1,16,316,1,1,0,0,9,38
KOTDARBAR,343,730,433,135,1,3,0,1,618,0,2,1,1,0,26
KYAMIN,145,1208,657,357,345,12,1,255,767,2,8,15,1,36,24
MAJHAKOT,197,1233,614,282,31,13,3,9,1157,1,21,13,0,6,92
MANPANG,143,1547,1009,695,192,24,5,14,1331,1,16,20,0,38,31
POKHARI BHANJYANG,228,750,332,339,115,14,1,10,608,0,28,31,0,21,1
PURKOT,205,1637,1172,1029,160,44,6,71,1260,4,27,14,0,74,52
RAIPUR,102,845,652,389,160,3,5,28,722,2,4,1,2,3,23
RAMJAKOT,225,682,516,39,1,3,4,9,578,2,6,4,0,0,6
RANIPOKHARI (RESING),98,763,493,274,111,23,4,9,700,1,21,79,1,15,0
RISTI,72,425,268,165,84,3,0,22,338,0,1,1,0,0,10
RUPAKOT,66,1035,712,464,184,13,4,20,920,0,4,3,0,20,24
SATISWARA,88,924,747,404,309,6,0,25,783,0,8,5,2,18,32
SHAMUNG BHAGAWATIPUR,247,1224,858,188,2,10,2,20,1047,0,18,11,1,1,32
SHYMGHA,109,1109,777,389,209,15,2,42,928,1,11,17,1,28,45
SUNDHARA (GHIRING),276,1073,787,120,1,4,0,5,787,1,6,4,0,0,81
TANAHUNSUR,87,601,423,271,56,7,3,22,466,3,11,3,0,7,36
THAPREK,78,685,466,252,111,8,1,0,624,2,12,6,0,4,0
MIRLUNG,146,1245,862,588,176,7,1,11,1095,0,4,2,0,2,32
