VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,78309,323288,143410,179878,4.1283632788057565,79.72625890881598
ANBUKHAIRENI,4034,16382,7573,8809,4.060981655924641,85.96889544783744
ARUNODAYA,1098,5008,2092,2916,4.5610200364298725,71.74211248285323
BAIDI,844,4551,2112,2439,5.39218009478673,86.5928659286593
BANDIPUR,3056,12450,5710,6740,4.073952879581152,84.71810089020771
BARBHANJYANG,1365,5074,2145,2929,3.7172161172161173,73.23318538750426
BASANTAPUR,868,3415,1448,1967,3.934331797235023,73.61464158617184
BHANU,3476,13175,5766,7409,3.790276179516686,77.82426778242679
BHANUMATI,1147,4642,1992,2650,4.047079337401918,75.16981132075472
BHIMAD,2191,8414,3687,4727,3.840255591054313,77.9987306960017
BHIRKOT,1146,5014,2163,2851,4.37521815008726,75.86811645036829
BYAS MUNICIPALITY,11321,42899,19376,23523,3.789329564526102,82.37044594652043
CHHANG,1499,5966,2607,3359,3.979986657771848,77.6123846382852
CHHIMKESHWORI,356,1887,841,1046,5.300561797752809,80.40152963671127
CHHIPCHHIPE,396,2246,1025,1221,5.671717171717172,83.94758394758395
CHOK CHISAPANI,1028,3835,1678,2157,3.730544747081712,77.79323133982383
DEURALI,521,2499,1090,1409,4.796545105566219,77.35982966643009
DEVGHAT,1897,7679,3568,4111,4.047970479704797,86.79153490634882
DHARAMPANI,724,3141,1358,1783,4.338397790055248,76.16376892877173
DHORFIRDI,3005,11994,5168,6826,3.9913477537437605,75.71051860533255
DULEGAUNDA,3992,15694,7119,8575,3.9313627254509016,83.0204081632653
FIRFIRE,776,3235,1390,1845,4.168814432989691,75.33875338753387
GAJARKOT,1299,5575,2402,3173,4.291762894534257,75.70122912070596
GHANSIKUWA,1942,7834,3484,4350,4.033985581874356,80.0919540229885
JAMUNE BHANJYANG,2408,9838,4416,5422,4.085548172757475,81.44596090003688
KAHU SHIVAPUR,1353,7098,3079,4019,5.246119733924612,76.61109728788256
KESHAVTAR,1171,4771,2102,2669,4.074295473953885,78.7560884226302
KHAIRENITAR,2679,10619,4624,5995,3.963792459873087,77.13094245204337
KIHUN,917,3827,1579,2248,4.173391494002181,70.24021352313167
KOTA,659,3603,1673,1930,5.467374810318665,86.6839378238342
KOTDARBAR,1099,5512,2288,3224,5.015468607825296,70.96774193548387
KYAMIN,1377,5213,2198,3015,3.785766158315178,72.9021558872305
MAJHAKOT,1522,6799,2867,3932,4.467148488830486,72.91454730417091
MANPANG,1721,6698,2863,3835,3.89192330040674,74.65449804432855
POKHARI BHANJYANG,979,3978,1815,2163,4.063329928498468,83.91123439667129
PURKOT,1894,7188,3044,4144,3.795142555438226,73.45559845559846
RAIPUR,970,3963,1693,2270,4.085567010309278,74.58149779735683
RAMJAKOT,913,4613,2011,2602,5.052573932092004,77.28670253651038
RANIPOKHARI (RESING),861,3917,1642,2275,4.549361207897793,72.17582417582418
RISTI,507,1948,845,1103,3.842209072978304,76.60924750679963
RUPAKOT,1125,4264,1800,2464,3.7902222222222224,73.05194805194806
SATISWARA,1044,3945,1677,2268,3.778735632183908,73.94179894179894
SHAMUNG BHAGAWATIPUR,1503,7302,3092,4210,4.858283433133733,73.44418052256532
SHYMGHA,1263,4893,2096,2797,3.874109263657957,74.93743296388988
SUNDHARA (GHIRING),1430,6881,2937,3944,4.811888111888112,74.46754563894523
TANAHUNSUR,724,2845,1186,1659,3.929558011049724,71.48884870403857
THAPREK,763,2951,1298,1653,3.8676277850589775,78.52389594676346
MIRLUNG,1423,5272,2241,3031,3.7048489107519327,73.93599472121412
