VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ANBUKHAIRENI,295,3169,556,14
ARUNODAYA,531,255,294,18
BAIDI,89,707,45,3
BANDIPUR,297,2148,589,22
BARBHANJYANG,274,825,256,10
BASANTAPUR,140,587,135,6
BHANU,595,2091,787,3
BHANUMATI,19,1055,69,4
BHIMAD,172,1508,494,17
BHIRKOT,532,266,344,4
BYAS MUNICIPALITY,674,9558,1034,55
CHHANG,289,871,331,8
CHHIMKESHWORI,244,0,112,0
CHHIPCHHIPE,29,344,20,3
CHOK CHISAPANI,137,688,198,5
DEURALI,373,74,74,0
DEVGHAT,176,1322,396,3
DHARAMPANI,50,110,561,3
DHORFIRDI,558,1490,951,6
DULEGAUNDA,329,3074,577,12
FIRFIRE,15,738,18,5
GAJARKOT,269,759,264,7
GHANSIKUWA,247,1224,462,9
JAMUNE BHANJYANG,377,1404,619,8
KAHU SHIVAPUR,759,406,183,5
KESHAVTAR,539,13,607,12
KHAIRENITAR,54,2379,242,4
KIHUN,295,359,257,6
KOTA,105,334,210,10
KOTDARBAR,30,1038,27,4
KYAMIN,219,755,400,3
MAJHAKOT,342,889,251,40
MANPANG,566,613,537,5
POKHARI BHANJYANG,112,713,147,7
PURKOT,238,1098,540,18
RAIPUR,71,828,66,5
RAMJAKOT,276,356,279,2
RANIPOKHARI (RESING),245,393,219,4
RISTI,16,331,150,10
RUPAKOT,116,756,243,10
SATISWARA,243,487,290,24
SHAMUNG BHAGAWATIPUR,489,694,316,4
SHYMGHA,21,1155,77,10
SUNDHARA (GHIRING),759,353,308,10
TANAHUNSUR,138,353,228,5
THAPREK,29,650,84,0
MIRLUNG,250,563,598,12
TOTAL,12623,49783,15445,435
