VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AMBEGUDIN,599,1,1,18,0,6
ANGKHOP,430,0,0,20,0,1
CHAKSIBOTE,189,1,0,1,0,0
CHANGE,783,3,0,73,1,1
DHUNGESANGHU,678,0,1,59,0,8
DOKHU,822,19,5,53,9,1
DUMMRISE,319,0,0,4,0,1
EKHABU,380,5,0,9,1,1
HANGDEWA,695,9,4,43,0,2
HANGPANG,749,3,0,30,0,0
KALIKHOLA,84,0,0,31,2,1
KHAMLUNG,261,0,0,58,0,0
KHEJENIM,459,1,0,11,1,8
KHEWANG,499,0,0,23,1,3
KHOKLING,617,2,0,66,6,2
LELEP,476,1,0,28,0,6
LIMBUDIN,340,0,0,6,0,10
LINGTEP,315,0,0,16,0,1
LINKHIM,444,1,0,3,4,5
LIWANG,354,0,0,4,0,1
MAMANGKHE,240,0,0,0,0,0
MEHELE,459,1,0,3,0,0
NALBU,346,1,0,23,1,5
NANGKHOLYANG,768,3,0,32,1,5
NIDHURADIN,459,1,0,42,1,8
OLANGCHUNG GOLA,41,0,0,20,0,1
PAPUNG,294,2,1,5,0,14
PEDANG,339,0,0,1,0,4
PHAKUMBA,572,0,0,116,0,5
PHAWAKHOLA,248,1,0,10,0,1
PHULBARI,682,0,1,43,8,0
PHUNGLING,2617,496,92,310,42,14
PHURUMBU,249,4,0,237,0,3
SADEWA,184,0,0,26,0,1
SANGHU,699,0,1,44,6,5
SANTHAKRA,441,0,0,89,0,3
SANWA,473,0,0,25,0,3
SAWANDIN,260,0,1,33,2,1
SABLAKHU,430,0,0,1,0,1
SIKAICHA,396,5,1,15,0,0
SINAM,428,7,1,22,0,3
SURUMKHIM,327,0,0,10,0,2
TAPETHOK,295,0,1,13,7,6
TELLOK,434,0,0,14,1,0
THECHAMBU,653,3,0,45,0,1
THINGLABU,463,0,0,18,0,10
THUKIMMA,500,1,0,25,0,1
THUMBEDIN,445,2,1,2,3,1
TIRINGE,347,1,0,6,0,0
YAMFUDIN,74,1,0,4,84,2
TOTAL,23656,575,111,1790,181,158
