VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AMBUNG,735,19,1,31,0,4
ANGDEEM,416,0,0,15,10,2
BASANTAPUR,909,21,39,141,1,0
CHHATE DHUNGA,555,0,0,50,49,7
CHUHANDANDA,672,0,0,98,0,1
DANGAPA,478,0,0,6,11,0
ESEEBU,585,11,0,15,2,3
EWA,683,1,0,11,2,4
HAMARJUNG,647,22,3,54,1,4
HWAKU,597,1,0,46,0,0
JALJALE,697,1,0,58,1,1
JIRIKHIMTI,683,11,3,42,2,3
KHAMLALUNG,601,0,0,14,0,0
MORAHANG,741,1,0,39,0,3
MYANGLUNG,1364,188,37,91,1,9
OKHRE,769,4,0,21,4,9
OYAKJUNG,915,0,0,82,9,1
PANCHAKANYA POKHARI,391,0,0,60,0,4
PHAKCHAMARA,486,0,1,42,0,0
PHULEK,318,3,1,12,0,7
PIPLE,312,0,0,6,11,2
POUTHAK,457,0,0,17,0,1
SABLA,518,8,11,28,1,2
SAMDU,496,0,0,1,4,3
SANKRANTI BAZAR,659,0,0,17,5,1
SHREE JUNG,460,1,0,55,8,11
SIMLE,889,0,0,23,2,5
SOLMA,877,2,0,10,10,1
SUDAP,637,0,0,34,0,0
SUNGNAM,769,0,0,53,6,2
TAMFULA,452,0,1,18,0,1
THOKLUNG,488,0,0,4,5,7
TOTAL,20256,294,97,1194,145,98
