VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AMBUNG,77,707,454,291,43,9,1,21,595,0,6,3,0,1,6
ANGDEEM,43,395,294,229,3,4,4,4,339,0,1,0,1,0,5
BASANTAPUR,111,969,576,590,231,57,24,88,861,2,23,18,2,9,31
CHHATE DHUNGA,108,500,440,41,2,4,0,11,340,0,2,0,0,0,53
CHUHANDANDA,154,583,469,35,1,1,0,4,423,1,1,0,0,0,34
DANGAPA,59,428,251,136,1,4,12,3,401,0,0,0,0,0,8
ESEEBU,99,505,439,46,6,6,0,12,410,1,0,1,0,0,12
EWA,109,592,461,25,9,2,0,17,466,0,5,0,0,0,0
HAMARJUNG,121,596,440,285,10,18,3,15,487,2,6,0,2,0,14
HWAKU,92,539,472,86,4,1,0,8,388,0,1,2,0,0,13
JALJALE,102,655,567,179,3,5,4,1,524,0,0,0,0,0,1
JIRIKHIMTI,50,677,528,401,87,12,2,19,537,0,2,2,0,0,17
KHAMLALUNG,150,463,416,33,5,2,0,10,300,1,1,3,1,0,2
MORAHANG,109,650,557,184,61,14,4,26,493,0,1,0,0,1,25
MYANGLUNG,103,1574,1205,911,798,160,85,401,1470,11,59,27,3,22,13
OKHRE,76,714,496,223,5,6,1,13,421,0,0,1,0,0,17
OYAKJUNG,125,880,700,148,8,6,0,11,738,0,0,0,0,0,2
PANCHAKANYA POKHARI,64,391,354,69,3,2,2,2,262,0,3,0,0,0,0
PHAKCHAMARA,124,402,297,150,4,4,0,3,320,0,2,0,0,0,3
PHULEK,59,277,181,189,0,1,0,7,202,0,1,0,1,0,5
PIPLE,25,305,272,194,12,0,1,28,264,0,1,0,0,0,1
POUTHAK,54,405,354,36,1,2,0,19,281,0,0,0,0,0,16
SABLA,42,519,409,214,130,13,7,16,466,0,15,7,0,3,7
SAMDU,96,396,313,90,13,4,0,0,315,0,0,0,0,0,12
SANKRANTI BAZAR,108,558,514,130,12,2,1,25,309,0,1,0,0,0,16
SHREE JUNG,126,402,276,61,11,5,2,3,332,0,1,0,2,0,7
SIMLE,180,730,582,83,1,4,0,6,619,0,1,4,1,0,9
SOLMA,86,813,657,418,63,11,2,14,750,0,3,0,0,0,1
SUDAP,62,599,444,232,1,4,0,11,532,0,0,1,0,0,10
SUNGNAM,112,711,495,275,19,7,4,4,659,0,5,0,3,1,7
TAMFULA,74,398,331,157,126,8,3,10,298,0,4,0,2,0,0
THOKLUNG,109,395,285,13,2,3,0,5,325,0,0,0,0,0,0
