VDC/MUNICIPALITY,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED
AANPTAR,701,1,3,55,65,36,0,1
BALAMTA,441,0,0,31,0,0,0,0
BARAHA,449,0,1,54,31,2,0,1
BARRE,724,0,8,113,1,2,0,3
BANSBOTE,348,0,0,42,36,2,0,3
BASHAHA,617,740,64,799,15,1,2,2
BELTAR,1794,512,224,484,0,7,106,1
BHUTTAR,389,1,24,152,43,11,2,13
CHAUDANDI,367,0,44,305,15,18,1,6
DUMRE,369,0,1,38,15,36,11,1
HADIYA,50,1735,25,456,2,13,74,0
HARDENI,517,0,2,142,29,11,0,5
INAME,568,0,1,14,0,1,0,3
JALPACHILAUNE,626,15,1,149,1,15,0,0
JANTE,381,0,1,24,1,5,0,0
JOGIDAHA,10,1278,3,156,0,0,4,0
KATARI,1742,1480,81,740,19,34,61,21
KATUNJE BABALA,627,45,3,359,2,29,0,0
KHANBU,582,2,0,113,7,77,1,0
LAPHAGAUN,540,0,3,10,1,6,2,0
LEKHANI,572,1,4,51,4,52,0,2
LEKHGAUN,360,1,25,88,0,4,0,2
LIMPATAR,451,0,2,50,0,0,1,0
MAINAMAINI,423,1,4,401,36,104,1,1
NAMETAR,351,0,0,61,0,0,0,4
OKHALE,374,0,56,46,0,24,0,7
PACHCHAWATI,1124,147,28,333,75,266,0,0
POKHARI,459,3,14,161,2,12,1,4
RAUTA,1173,249,4,82,2,19,3,3
RISKU,661,387,39,568,27,63,41,2
RUPATAR,605,2,0,24,0,48,0,4
SAUNE,402,3,13,73,1,25,0,1
SHORUNG CHHABISE,642,1,6,51,3,7,0,8
SIDDHIPUR,296,176,6,267,7,27,0,0
SIRISE,673,2,0,97,8,7,0,8
SUNDARPUR,33,1149,0,79,0,0,0,0
TAMLICHHA,390,0,0,66,3,0,3,1
TAPESWORI,122,1994,5,49,1,3,28,4
TAWASHREE,690,121,21,265,6,48,1,2
THANAGAU,349,0,0,94,0,0,0,3
THOKSILA,1899,1724,13,854,94,63,27,14
TRIBENI,160,955,24,637,43,26,4,15
TRIYUGA MUNICIPALITY,3675,10172,96,1299,267,166,193,58
VALAYADANDA,798,46,59,635,16,173,0,3
MAYANKHU,369,0,2,81,0,25,0,1
TOTAL,28893,22943,910,10648,878,1468,567,207
