VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AANPTAR,848,11,0,3
BALAMTA,466,6,0,0
BARAHA,521,10,0,7
BARRE,841,3,3,4
BANSBOTE,428,2,0,1
BASHAHA,2162,66,2,10
BELTAR,2677,396,12,43
BHUTTAR,613,9,7,6
CHAUDANDI,742,8,0,6
DUMRE,470,1,0,0
HADIYA,2314,29,5,7
HARDENI,675,29,2,0
INAME,584,3,0,0
JALPACHILAUNE,770,27,8,2
JANTE,402,2,3,5
JOGIDAHA,1427,18,2,4
KATARI,3402,702,24,50
KATUNJE BABALA,1058,4,0,3
KHANBU,765,14,0,3
LAPHAGAUN,557,4,0,1
LEKHANI,500,172,4,10
LEKHGAUN,473,3,4,0
LIMPATAR,494,9,0,1
MAINAMAINI,968,3,0,0
NAMETAR,396,10,1,9
OKHALE,503,4,0,0
PACHCHAWATI,1926,38,4,5
POKHARI,603,47,0,6
RAUTA,1414,104,2,15
RISKU,1753,8,2,25
RUPATAR,670,7,4,2
SAUNE,483,30,1,4
SHORUNG CHHABISE,712,5,0,1
SIDDHIPUR,715,62,0,2
SIRISE,786,6,0,3
SUNDARPUR,1243,7,5,6
TAMLICHHA,462,1,0,0
TAPESWORI,2139,35,0,32
TAWASHREE,1131,14,0,9
THANAGAU,445,1,0,0
THOKSILA,4550,101,1,36
TRIBENI,1805,42,0,17
TRIYUGA MUNICIPALITY,13367,2073,322,164
VALAYADANDA,1716,4,1,9
MAYANKHU,476,1,0,1
TOTAL,61452,4131,419,512
